parameter,value,efficiency,error,energy_ev,grazing_angle_deg
x_resolution,0.01,0.24457428334921166,False,600.0,1.4150115577924396
x_resolution,1.12,0.2446744021243363,False,600.0,1.4150115577924396
x_resolution,2.23,0.24468340017727988,False,600.0,1.4150115577924396
x_resolution,3.34,0.2447366974370271,False,600.0,1.4150115577924396
x_resolution,4.45,0.2447621380791603,False,600.0,1.4150115577924396
x_resolution,5.5600000000000005,0.24482462336358435,False,600.0,1.4150115577924396
x_resolution,6.67,0.24486821288415642,False,600.0,1.4150115577924396
x_resolution,7.78,0.2452650156026511,False,600.0,1.4150115577924396
x_resolution,8.89,0.24499179686765435,False,600.0,1.4150115577924396
x_resolution,10.0,0.24501296057009753,False,600.0,1.4150115577924396
