wave length	n	k	Energy	WL	-delta	beta		WL			Energy		Energy	beta	Energy	beta		Energy	delta	beta
0.12398425	0.99999968	9.2453537E-9	99999.949187094	1.2398425E-5	3.20000000053611E-7	9.2453537E-9	start:	1.23984E-4	2.99132937167783E-5	2.20763438928545E-6	10000		99999.949187094	9.2453537E-9	10000	2.20763438928545E-6		10	-0.28002	0.98703
0.12423272	0.99999968	9.3128213E-9	99799.9456181914	1.2423272E-5	3.20000000053611E-7	9.3128213E-9	1.23984E-4	1.363700016E-4	3.66009237856966E-5	3.11751391399865E-6	9091.7356123284		99799.9456181914	9.3128213E-9	9091.7356123284	3.11751391399865E-6		10.001	-0.27996	0.98696
0.12460729	0.99999968	9.4148805E-9	99499.9465922098	1.2460729E-5	3.20000000053611E-7	9.4148805E-9	stop:	1.487560032E-4	4.38551437004476E-5	4.27375328421543E-6	8334.72245374229		99499.9465922098	9.4148805E-9	8334.72245374229	4.27375328421543E-6		10.002	-0.27989	0.98689
0.12523662	0.99999968	9.5884077E-9	98999.9466609687	1.2523662E-5	3.20000000053611E-7	9.5884077E-9	0.123984	1.611420048E-4	5.16968275119439E-5	5.71287201267517E-6	7694.08324998077		98999.9466609687	9.5884077E-9	7694.08324998077	5.71287201267517E-6		10.003	-0.27983	0.98683
0.12587234	0.99999967	9.7665349E-9	98499.9460564569	1.2587234E-5	3.29999999992836E-7	9.7665349E-9	steps:	1.735280064E-4	6.01277914571688E-5	7.47154430497036E-6	7144.8985424407		98499.9460564569	9.7665349E-9	7144.8985424407	7.47154430497036E-6		10.004	-0.27977	0.98677
0.12612843	0.99999967	9.8386795E-9	98299.9526752216	1.2612843E-5	3.29999999992836E-7	9.8386795E-9	10000	1.85914008E-4	6.91105799569294E-5	9.58369604621577E-6	6668.88962987663		98299.9526752216	9.8386795E-9	6668.88962987663	9.58369604621577E-6		10.005	-0.27971	0.98671
0.12651454	0.99999967	9.9478498E-9	97999.9508356905	1.2651454E-5	3.29999999992836E-7	9.9478498E-9	step:	1.983000096E-4	7.86289427354579E-5	1.20865803712424E-5	6252.34462923596		97999.9508356905	9.9478498E-9	6252.34462923596	1.20865803712424E-5		10.006	-0.27964	0.98664
0.12690302	0.99999967	1.0059841E-8	97699.9499302696	1.2690302E-5	3.29999999992836E-7	1.0059841E-8	2	2.106860112E-4	8.86173430269816E-5	1.49883293311799E-5	5884.77608426999		97699.9499302696	1.0059841E-8	5884.77608426999	1.49883293311799E-5		10.007	-0.27958	0.98658
0.12742472	0.99999967	1.0211022E-8	97299.9485500145	1.2742472E-5	3.29999999992836E-7	1.0211022E-8		2.230720128E-4	9.90921548565614E-5	1.82836726689286E-5	5558.02578923966		97299.9485500145	1.0211022E-8	5558.02578923966	1.82836726689286E-5		10.008	-0.27952	0.98652
0.12795072	0.99999966	1.0364361E-8	96899.9525754916	1.2795072E-5	3.40000000043084E-7	1.0364361E-8		2.354580144E-4	1.09920434346017E-4	2.21034099499794E-5	5265.6521510189		96899.9525754916	1.0364361E-8	5265.6521510189	2.21034099499794E-5		10.009	-0.27945	0.98645
