PhotonEnergy_eV,GrazingAlpha_deg,DiffractionEfficiency,ExitAngle_beta_deg
50.0000,86.000000,0.032231,9.015622
60.0000,86.000000,0.044913,8.389646
70.0000,86.000000,0.059677,7.912490
80.0000,86.000000,0.076854,7.534953
90.0000,86.000000,0.096401,7.227775
100.0000,86.000000,0.117315,6.972349
110.0000,86.000000,0.138112,6.756222
120.0000,86.000000,0.154818,6.570714
130.0000,86.000000,0.165933,6.409573
140.0000,86.000000,0.172953,6.268170
150.0000,86.000000,0.172652,6.142998
160.0000,86.000000,0.169771,6.031351
170.0000,86.000000,0.159533,5.931101
180.0000,86.000000,0.149406,5.840550
190.0000,86.000000,0.143920,5.758328
200.0000,86.000000,0.138645,5.683315
210.0000,86.000000,0.132141,5.614586
220.0000,86.000000,0.127860,5.551368
230.0000,86.000000,0.125110,5.493015
240.0000,86.000000,0.125029,5.438976
250.0000,86.000000,0.124497,5.388783
260.0000,86.000000,0.122270,5.342033
270.0000,86.000000,0.120100,5.298380
280.0000,86.000000,0.110917,5.257521
290.0000,86.000000,0.101003,5.219194
300.0000,86.000000,0.101618,5.183166
310.0000,86.000000,0.099409,5.149236
320.0000,86.000000,0.097201,5.117222
330.0000,86.000000,0.094494,5.086966
340.0000,86.000000,0.090475,5.058324
350.0000,86.000000,0.085855,5.031170
360.0000,86.000000,0.081599,5.005390
370.0000,86.000000,0.076394,4.980881
380.0000,86.000000,0.071231,4.957550
390.0000,86.000000,0.065961,4.935314
400.0000,86.000000,0.060796,4.914097
410.0000,86.000000,0.055949,4.893830
420.0000,86.000000,0.049382,4.874449
430.0000,86.000000,0.043126,4.855898
440.0000,86.000000,0.037292,4.838125
450.0000,86.000000,0.031759,4.821080
460.0000,86.000000,0.026520,4.804719
470.0000,86.000000,0.021760,4.789003
480.0000,86.000000,0.017471,4.773893
490.0000,86.000000,0.013518,4.759355
500.0000,86.000000,0.010075,4.745357
510.0000,86.000000,0.007186,4.731868
520.0000,86.000000,0.004974,4.718862
530.0000,86.000000,0.003606,4.706313
540.0000,86.000000,0.002719,4.694197
550.0000,86.000000,0.002384,4.682493
560.0000,86.000000,0.002697,4.671178
570.0000,86.000000,0.003586,4.660235
580.0000,86.000000,0.005075,4.649644
590.0000,86.000000,0.007157,4.639390
600.0000,86.000000,0.009792,4.629455
610.0000,86.000000,0.013083,4.619827
620.0000,86.000000,0.016172,4.610489
630.0000,86.000000,0.019692,4.601431
640.0000,86.000000,0.023574,4.592638
650.0000,86.000000,0.027710,4.584100
660.0000,86.000000,0.031744,4.575805
670.0000,86.000000,0.035887,4.567743
680.0000,86.000000,0.040029,4.559905
690.0000,86.000000,0.043998,4.552282
700.0000,86.000000,0.047654,4.544864
710.0000,86.000000,0.051225,4.537643
720.0000,86.000000,0.054225,4.530612
730.0000,86.000000,0.057313,4.523763
740.0000,86.000000,0.060380,4.517089
750.0000,86.000000,0.063032,4.510584
760.0000,86.000000,0.065241,4.504241
770.0000,86.000000,0.066897,4.498054
780.0000,86.000000,0.067964,4.492017
790.0000,86.000000,0.068332,4.486126
800.0000,86.000000,0.068043,4.480374
810.0000,86.000000,0.067038,4.474757
820.0000,86.000000,0.066894,4.469271
830.0000,86.000000,0.066592,4.463910
840.0000,86.000000,0.065631,4.458671
850.0000,86.000000,0.064174,4.453549
860.0000,86.000000,0.062261,4.448540
870.0000,86.000000,0.059960,4.443641
880.0000,86.000000,0.057328,4.438849
890.0000,86.000000,0.054422,4.434159
900.0000,86.000000,0.051294,4.429568
910.0000,86.000000,0.048002,4.425074
920.0000,86.000000,0.044601,4.420673
930.0000,86.000000,0.041137,4.416362
940.0000,86.000000,0.037640,4.412139
950.0000,86.000000,0.034146,4.408001
960.0000,86.000000,0.030703,4.403945
970.0000,86.000000,0.027349,4.399970
980.0000,86.000000,0.024113,4.396072
990.0000,86.000000,0.021019,4.392250
1000.0000,86.000000,0.018081,4.388500
1010.0000,86.000000,0.015294,4.384822
1020.0000,86.000000,0.012261,4.381213
1030.0000,86.000000,0.009712,4.377671
1040.0000,86.000000,0.007613,4.374195
1050.0000,86.000000,0.005841,4.370782
1060.0000,86.000000,0.004366,4.367431
1070.0000,86.000000,0.003166,4.364140
1080.0000,86.000000,0.002222,4.360907
1090.0000,86.000000,0.001511,4.357732
1100.0000,86.000000,0.001012,4.354612
1110.0000,86.000000,0.000703,4.351546
1120.0000,86.000000,0.000560,4.348533
1130.0000,86.000000,0.000561,4.345571
1140.0000,86.000000,0.000683,4.342659
1150.0000,86.000000,0.000904,4.339796
1160.0000,86.000000,0.001205,4.336980
1170.0000,86.000000,0.001564,4.334211
