energy_ev,grazing_angle_deg,efficiency_order_1
50.0,4.0,0.03398199299469033
60.0,4.0,0.0468315246352997
70.0,4.0,0.059314297670899914
80.0,4.0,0.07427850855209496
90.0,4.0,0.09056756441611379
100.0,4.0,0.10706788192261602
110.0,4.0,0.12287505690189687
120.0,4.0,0.13633323844461367
130.0,4.0,0.147008718495668
140.0,4.0,0.15405967191179917
150.0,4.0,0.15414206089847218
160.0,4.0,0.15227962943457046
170.0,4.0,0.1443041948706976
180.0,4.0,0.1374735803729194
190.0,4.0,0.1369437932914414
200.0,4.0,0.13669118767796198
210.0,4.0,0.13550636829875862
220.0,4.0,0.1311463210774684
230.0,4.0,0.12837413976207543
240.0,4.0,0.12840754002211058
250.0,4.0,0.12811968872824364
260.0,4.0,0.1264415576284769
270.0,4.0,0.12552210937490849
280.0,4.0,0.12106563507512691
290.0,4.0,0.11677034749275315
300.0,4.0,0.11239777010145527
310.0,4.0,0.10757691485066027
320.0,4.0,0.10365847499747184
330.0,4.0,0.0997986878725013
340.0,4.0,0.09495293432421556
350.0,4.0,0.08957286776789633
360.0,4.0,0.08480813160523809
370.0,4.0,0.07911174983063426
380.0,4.0,0.07333067599047222
390.0,4.0,0.06681328591204078
400.0,4.0,0.06120348825097894
410.0,4.0,0.05555015502617356
420.0,4.0,0.04955698711545858
430.0,4.0,0.04382619650646223
440.0,4.0,0.0385066374446205
450.0,4.0,0.03346657360766129
460.0,4.0,0.02865887538924368
470.0,4.0,0.024254834803241778
480.0,4.0,0.020235981114203615
490.0,4.0,0.016406671360190705
500.0,4.0,0.012916843848739498
510.0,4.0,0.009795794445056745
520.0,4.0,0.007182253396701194
530.0,4.0,0.005325630740387432
540.0,4.0,0.0036836345055726452
550.0,4.0,0.002335763143696618
560.0,4.0,0.0013735791873253876
570.0,4.0,0.000731760281948077
580.0,4.0,0.000445685155318879
590.0,4.0,0.0003784919995433769
600.0,4.0,0.0005534857390045211
610.0,4.0,0.0009528370996439745
620.0,4.0,0.0015713792189146311
630.0,4.0,0.0023547685103659215
640.0,4.0,0.003293916591950927
650.0,4.0,0.004354469213469937
660.0,4.0,0.005448273448634944
670.0,4.0,0.006601106941081511
680.0,4.0,0.007777098372691392
690.0,4.0,0.008927577718336542
700.0,4.0,0.010009678953333639
710.0,4.0,0.011074479032303726
720.0,4.0,0.011994979898272405
730.0,4.0,0.012930850596874098
740.0,4.0,0.013853034467275387
750.0,4.0,0.01465993927804136
760.0,4.0,0.015353025847196104
770.0,4.0,0.015900951224303024
780.0,4.0,0.016513936577830183
790.0,4.0,0.016951334943580608
800.0,4.0,0.017222059611922053
810.0,4.0,0.01735294013252488
820.0,4.0,0.01735353057842965
830.0,4.0,0.01723318079827618
840.0,4.0,0.01700240080563603
850.0,4.0,0.016670037394853527
860.0,4.0,0.01623786337173233
870.0,4.0,0.015719681682034112
880.0,4.0,0.015128134364682785
890.0,4.0,0.01447528548412603
900.0,4.0,0.013772987883126716
910.0,4.0,0.013033087567156657
920.0,4.0,0.012267517257756615
930.0,4.0,0.011485944491952192
940.0,4.0,0.010693347575992275
950.0,4.0,0.009896832954893952
960.0,4.0,0.009108777040281756
970.0,4.0,0.008300253094254912
980.0,4.0,0.007445600745182872
990.0,4.0,0.006641163318473807
1000.0,4.0,0.005881154257818443
