label,angle_mode,grazing_angle_deg,cff,diffraction_order,polarization,energy_ev,measured_efficiency,simulated_efficiency
alpha4deg_order1,fixed,4.0,,1,s,120.0,0.17141636,0.17110177635740492
alpha4deg_order1,fixed,4.0,,1,s,144.0,0.19703838,0.19479375784601236
alpha4deg_order1,fixed,4.0,,1,s,168.0,0.18474666,0.18308681921434822
alpha4deg_order1,fixed,4.0,,1,s,192.0,0.16371753,0.16528615339837524
alpha4deg_order1,fixed,4.0,,1,s,216.0,0.15529426,0.15663639883534985
alpha4deg_order1,fixed,4.0,,1,s,240.0,0.1503973,0.1519859261758366
alpha4deg_order1,fixed,4.0,,1,s,264.0,0.1493892,0.14927363933872032
alpha4deg_order1,fixed,4.0,,1,s,288.0,0.12660732,0.12728736724181636
alpha4deg_order1,fixed,4.0,,1,s,312.0,0.12456835,0.12421637620796011
alpha4deg_order1,fixed,4.0,,1,s,336.0,0.11293378,0.11557377851109212
alpha4deg_order1,fixed,4.0,,1,s,360.0,0.10330333,0.10215600069671808
alpha4deg_order1,fixed,4.0,,1,s,384.0,0.0861184,0.08657346738324777
alpha4deg_order1,fixed,4.0,,1,s,408.0,0.07092663,0.07072294903053877
alpha4deg_order1,fixed,4.0,,1,s,432.0,0.05357621,0.05392256946763518
alpha4deg_order1,fixed,4.0,,1,s,456.0,0.03788923,0.038269816145928344
alpha4deg_order1,fixed,4.0,,1,s,480.0,0.02454268,0.02461966728119137
alpha2deg_order1,fixed,2.0,,1,s,120.0,0.08633906,0.08535665090729662
alpha2deg_order1,fixed,2.0,,1,s,144.0,0.10270565,0.10285446153108209
alpha2deg_order1,fixed,2.0,,1,s,168.0,0.10815782,0.10829455871331536
alpha2deg_order1,fixed,2.0,,1,s,192.0,0.11192804,0.11112541025087645
alpha2deg_order1,fixed,2.0,,1,s,216.0,0.11876987,0.11975378673402154
alpha2deg_order1,fixed,2.0,,1,s,240.0,0.12712159,0.12899055403206353
alpha2deg_order1,fixed,2.0,,1,s,264.0,0.1410358,0.14036482111940363
alpha2deg_order1,fixed,2.0,,1,s,288.0,0.14050254,0.14132890977940815
alpha2deg_order1,fixed,2.0,,1,s,312.0,0.1541451,0.15702807457426196
alpha2deg_order1,fixed,2.0,,1,s,336.0,0.16857681,0.1698111198704118
alpha2deg_order1,fixed,2.0,,1,s,360.0,0.17947078,0.1801655863582921
alpha2deg_order1,fixed,2.0,,1,s,384.0,0.18733236,0.1894659437477787
alpha2deg_order1,fixed,2.0,,1,s,408.0,0.19484059,0.19770783372786305
alpha2deg_order1,fixed,2.0,,1,s,432.0,0.20213877,0.20204498439468088
alpha2deg_order1,fixed,2.0,,1,s,456.0,0.20760122,0.205807502343505
alpha2deg_order1,fixed,2.0,,1,s,480.0,0.20798261,0.20860545082360635
alpha4deg_order2,fixed,4.0,,2,s,120.0,0.01113793,0.01074645180457389
alpha4deg_order2,fixed,4.0,,2,s,144.0,0.01309429,0.01257849899522577
alpha4deg_order2,fixed,4.0,,2,s,168.0,0.01432926,0.013801095017021097
alpha4deg_order2,fixed,4.0,,2,s,192.0,0.01477233,0.01447994560222616
alpha4deg_order2,fixed,4.0,,2,s,216.0,0.01504781,0.014648883005932773
alpha4deg_order2,fixed,4.0,,2,s,240.0,0.01408307,0.013690608147186107
alpha4deg_order2,fixed,4.0,,2,s,264.0,0.01351666,0.013371850921901459
alpha4deg_order2,fixed,4.0,,2,s,288.0,0.01127004,0.011301170196706147
alpha4deg_order2,fixed,4.0,,2,s,312.0,0.01195246,0.011917785941063519
alpha4deg_order2,fixed,4.0,,2,s,336.0,0.01189601,0.011942660858599042
alpha4deg_order2,fixed,4.0,,2,s,360.0,0.0115815,0.011590671348195991
alpha4deg_order2,fixed,4.0,,2,s,384.0,0.01076006,0.011077970522346464
alpha4deg_order2,fixed,4.0,,2,s,408.0,0.01036391,0.010631632150530899
alpha4deg_order2,fixed,4.0,,2,s,432.0,0.00975302,0.010071718847498641
alpha4deg_order2,fixed,4.0,,2,s,456.0,0.00891902,0.009333334232495154
alpha4deg_order2,fixed,4.0,,2,s,480.0,0.00827616,0.008531073784493838
cff2p25_order1_p,cff,,2.25,1,p,120.0,0.10958378,0.10876411298273586
cff2p25_order1_p,cff,,2.25,1,p,144.0,0.11793783,0.1188092650038343
cff2p25_order1_p,cff,,2.25,1,p,168.0,0.11669907,0.11510420383193945
cff2p25_order1_p,cff,,2.25,1,p,192.0,0.11189347,0.11095252719532639
cff2p25_order1_p,cff,,2.25,1,p,216.0,0.11515833,0.11437676880188694
cff2p25_order1_p,cff,,2.25,1,p,240.0,0.1195672,0.11898071310660167
cff2p25_order1_p,cff,,2.25,1,p,264.0,0.1273343,0.1259706914591362
cff2p25_order1_p,cff,,2.25,1,p,288.0,0.12367452,0.12515510583370731
cff2p25_order1_p,cff,,2.25,1,p,312.0,0.13747171,0.13640054405706536
cff2p25_order1_p,cff,,2.25,1,p,336.0,0.14654088,0.14538246238807703
cff2p25_order1_p,cff,,2.25,1,p,360.0,0.15032918,0.15271470379672172
cff2p25_order1_p,cff,,2.25,1,p,384.0,0.16045989,0.15955645597919105
cff2p25_order1_p,cff,,2.25,1,p,408.0,0.16589566,0.16594970444138765
cff2p25_order1_p,cff,,2.25,1,p,432.0,0.17166773,0.16997770837202258
cff2p25_order1_p,cff,,2.25,1,p,456.0,0.1735749,0.17398908990122566
cff2p25_order1_p,cff,,2.25,1,p,480.0,0.17803612,0.17773525466970605
