case_id,energy_ev,grazing_angle_deg,order,efficiency,diffraction_angle_deg
fixed-00000000,51.031,4.0,-15,0.00016076079107510212,31.592684208420422
fixed-00000000,51.031,4.0,-14,0.00012802322161001574,30.513240899031942
fixed-00000000,51.031,4.0,-13,9.278666929974119e-05,29.3981266579136
fixed-00000000,51.031,4.0,-12,0.0002021962007918016,28.2430826673667
fixed-00000000,51.031,4.0,-11,0.0002679254721113848,27.042958026955112
fixed-00000000,51.031,4.0,-10,0.00012246175772459661,25.791424211271462
fixed-00000000,51.031,4.0,-9,0.00025757877039059925,24.4805601660764
fixed-00000000,51.031,4.0,-8,0.0006446228982567493,23.100228310925417
fixed-00000000,51.031,4.0,-7,0.0003509492528485857,21.63709620023063
fixed-00000000,51.031,4.0,-6,0.00025233790996495267,20.073021804562856
fixed-00000000,51.031,4.0,-5,0.0017330930929798302,18.382209182495572
fixed-00000000,51.031,4.0,-4,0.0017801733126446228,16.52575062796602
fixed-00000000,51.031,4.0,-3,0.00012689337696867884,14.439839202533307
fixed-00000000,51.031,4.0,-2,0.008644173837772925,12.005394489484559
fixed-00000000,51.031,4.0,-1,0.030007843235565428,8.942057498804587
fixed-00000000,51.031,4.0,0,0.6941763900858002,4.000000000000043
fixed-00000000,51.031,4.0,1,0.0,0.0
fixed-00000000,51.031,4.0,2,0.0,0.0
fixed-00000000,51.031,4.0,3,0.0,0.0
fixed-00000000,51.031,4.0,4,0.0,0.0
fixed-00000000,51.031,4.0,5,0.0,0.0
fixed-00000000,51.031,4.0,6,0.0,0.0
fixed-00000000,51.031,4.0,7,0.0,0.0
fixed-00000000,51.031,4.0,8,0.0,0.0
fixed-00000000,51.031,4.0,9,0.0,0.0
fixed-00000000,51.031,4.0,10,0.0,0.0
fixed-00000000,51.031,4.0,11,0.0,0.0
fixed-00000000,51.031,4.0,12,0.0,0.0
fixed-00000000,51.031,4.0,13,0.0,0.0
fixed-00000000,51.031,4.0,14,0.0,0.0
fixed-00000000,51.031,4.0,15,0.0,0.0
fixed-00000001,51.535,4.0,-15,0.00016315212719009988,31.436421708706995
fixed-00000001,51.535,4.0,-14,0.00012984903803605735,30.36275821356324
fixed-00000001,51.535,4.0,-13,9.429794305575519e-05,29.253591196974362
fixed-00000001,51.535,4.0,-12,0.00020325958883048045,28.104684382152477
fixed-00000001,51.535,4.0,-11,0.00026981638587081824,26.910914314750777
fixed-00000001,51.535,4.0,-10,0.00012408016924553387,25.66598646074098
fixed-00000001,51.535,4.0,-9,0.0002577907222845418,24.362022719115586
fixed-00000001,51.535,4.0,-8,0.0006457409438137902,22.988941118718657
fixed-00000001,51.535,4.0,-7,0.00035320265735919653,21.533483385001645
fixed-00000001,51.535,4.0,-6,0.0002521571190217371,19.977610201627357
fixed-00000001,51.535,4.0,-5,0.0017331612185457006,18.295674988789102
fixed-00000001,51.535,4.0,-4,0.0017857946478481287,16.449002142991787
fixed-00000001,51.535,4.0,-3,0.00012711333239285373,14.374181651570808
fixed-00000001,51.535,4.0,-2,0.00866508205595357,11.952922998109997
fixed-00000001,51.535,4.0,-1,0.03019367796299278,8.906956102060562
fixed-00000001,51.535,4.0,0,0.6882416565762977,4.000000000000043
fixed-00000001,51.535,4.0,1,0.0,0.0
fixed-00000001,51.535,4.0,2,0.0,0.0
fixed-00000001,51.535,4.0,3,0.0,0.0
fixed-00000001,51.535,4.0,4,0.0,0.0
fixed-00000001,51.535,4.0,5,0.0,0.0
fixed-00000001,51.535,4.0,6,0.0,0.0
fixed-00000001,51.535,4.0,7,0.0,0.0
fixed-00000001,51.535,4.0,8,0.0,0.0
fixed-00000001,51.535,4.0,9,0.0,0.0
fixed-00000001,51.535,4.0,10,0.0,0.0
fixed-00000001,51.535,4.0,11,0.0,0.0
fixed-00000001,51.535,4.0,12,0.0,0.0
fixed-00000001,51.535,4.0,13,0.0,0.0
fixed-00000001,51.535,4.0,14,0.0,0.0
fixed-00000001,51.535,4.0,15,0.0,0.0
fixed-00000004,53.048,4.0,-15,0.00019025655546722452,30.981190857337083
fixed-00000004,53.048,4.0,-14,0.00014875860085980402,29.924346897856765
fixed-00000004,53.048,4.0,-13,0.00010925255087078779,28.832489533588983
fixed-00000004,53.048,4.0,-12,0.00022612603290835228,27.70144826956568
fixed-00000004,53.048,4.0,-11,0.00029956112407662636,26.52617975507345
fixed-00000004,53.048,4.0,-10,0.00014084061903031641,25.300488670532772
fixed-00000004,53.048,4.0,-9,0.0002803878415687431,24.016622296640747
fixed-00000004,53.048,4.0,-8,0.0007001235803946412,22.66466099880401
fixed-00000004,53.048,4.0,-7,0.0003880585947231064,21.231563040007728
fixed-00000004,53.048,4.0,-6,0.00026957221474601344,19.69958898838115
fixed-00000004,53.048,4.0,-5,0.0018474982658863437,18.04352837381886
fixed-00000004,53.048,4.0,-4,0.001914028946535526,16.22538333125148
fixed-00000004,53.048,4.0,-3,0.00013467016843775144,14.182902905673217
