case_id,energy_ev,grazing_angle_deg,order,efficiency,diffraction_angle_deg
fixed-00000000,51.031,4.0,-15,0.00014205453260686073,31.592684208420422
fixed-00000000,51.031,4.0,-14,0.00012928220833906127,30.513240899031942
fixed-00000000,51.031,4.0,-13,0.00010374170476204323,29.3981266579136
fixed-00000000,51.031,4.0,-12,0.00014294894045247718,28.2430826673667
fixed-00000000,51.031,4.0,-11,0.0002476190746336002,27.042958026955112
fixed-00000000,51.031,4.0,-10,0.0001745841722503087,25.791424211271462
fixed-00000000,51.031,4.0,-9,0.00015873594722841454,24.4805601660764
fixed-00000000,51.031,4.0,-8,0.0005350634045191281,23.100228310925417
fixed-00000000,51.031,4.0,-7,0.00046601866168807023,21.63709620023063
fixed-00000000,51.031,4.0,-6,0.00014392124120536905,20.073021804562856
fixed-00000000,51.031,4.0,-5,0.0013843041845656172,18.382209182495572
fixed-00000000,51.031,4.0,-4,0.001914422285335777,16.52575062796602
fixed-00000000,51.031,4.0,-3,8.81087409357618e-05,14.439839202533307
fixed-00000000,51.031,4.0,-2,0.007340718718293206,12.005394489484559
fixed-00000000,51.031,4.0,-1,0.028453992835345592,8.942057498804587
fixed-00000000,51.031,4.0,0,0.7017237947870826,4.000000000000043
fixed-00000000,51.031,4.0,1,0.0,0.0
fixed-00000000,51.031,4.0,2,0.0,0.0
fixed-00000000,51.031,4.0,3,0.0,0.0
fixed-00000000,51.031,4.0,4,0.0,0.0
fixed-00000000,51.031,4.0,5,0.0,0.0
fixed-00000000,51.031,4.0,6,0.0,0.0
fixed-00000000,51.031,4.0,7,0.0,0.0
fixed-00000000,51.031,4.0,8,0.0,0.0
fixed-00000000,51.031,4.0,9,0.0,0.0
fixed-00000000,51.031,4.0,10,0.0,0.0
fixed-00000000,51.031,4.0,11,0.0,0.0
fixed-00000000,51.031,4.0,12,0.0,0.0
fixed-00000000,51.031,4.0,13,0.0,0.0
fixed-00000000,51.031,4.0,14,0.0,0.0
fixed-00000000,51.031,4.0,15,0.0,0.0
fixed-00000001,51.535,4.0,-15,0.00014452074482086894,31.436421708706995
fixed-00000001,51.535,4.0,-14,0.00013012731588928251,30.36275821356324
fixed-00000001,51.535,4.0,-13,0.00010579336555775993,29.253591196974362
fixed-00000001,51.535,4.0,-12,0.0001441021622124686,28.104684382152477
fixed-00000001,51.535,4.0,-11,0.00024821325560821933,26.910914314750777
fixed-00000001,51.535,4.0,-10,0.0001763348578347598,25.66598646074098
