case_id,energy_ev,grazing_angle_deg,order,efficiency,diffraction_angle_deg
fixed-00000000,100.0,4.0,-15,0.000563307119236114,22.60509349803634
fixed-00000000,100.0,4.0,-14,0.000411242756692375,21.854024375341254
fixed-00000000,100.0,4.0,-13,0.0005545728101897431,21.07756102550144
fixed-00000000,100.0,4.0,-12,0.0010423901949924697,20.272780035826898
fixed-00000000,100.0,4.0,-11,0.0009189370677739191,19.43615815678045
fixed-00000000,100.0,4.0,-10,0.0010804344557985288,18.563384620134798
fixed-00000000,100.0,4.0,-9,0.001772768645670079,17.649090489235533
fixed-00000000,100.0,4.0,-8,0.0019942532263253782,16.68644527017065
fixed-00000000,100.0,4.0,-7,0.0024528305428868674,15.666531340439832
fixed-00000000,100.0,4.0,-6,0.0023757104595837687,14.577325397340658
fixed-00000000,100.0,4.0,-5,0.00478909665628488,13.401935191968334
fixed-00000000,100.0,4.0,-4,0.008483077631803037,12.115293466158093
fixed-00000000,100.0,4.0,-3,0.0025880872412324444,10.677246924869166
fixed-00000000,100.0,4.0,-2,0.02485771683132991,9.015622340555609
fixed-00000000,100.0,4.0,-1,0.11480075591578803,6.972349028947534
fixed-00000000,100.0,4.0,0,0.7005722381277408,4.000000000000043
fixed-00000000,100.0,4.0,1,0.0,0.0
fixed-00000000,100.0,4.0,2,0.0,0.0
fixed-00000000,100.0,4.0,3,0.0,0.0
fixed-00000000,100.0,4.0,4,0.0,0.0
fixed-00000000,100.0,4.0,5,0.0,0.0
fixed-00000000,100.0,4.0,6,0.0,0.0
fixed-00000000,100.0,4.0,7,0.0,0.0
fixed-00000000,100.0,4.0,8,0.0,0.0
fixed-00000000,100.0,4.0,9,0.0,0.0
fixed-00000000,100.0,4.0,10,0.0,0.0
fixed-00000000,100.0,4.0,11,0.0,0.0
fixed-00000000,100.0,4.0,12,0.0,0.0
fixed-00000000,100.0,4.0,13,0.0,0.0
fixed-00000000,100.0,4.0,14,0.0,0.0
fixed-00000000,100.0,4.0,15,0.0,0.0
fixed-00000014,240.0,4.0,-15,0.0006239605654654276,14.856940312447833
fixed-00000014,240.0,4.0,-14,0.0006202805591952121,14.387963517781984
fixed-00000014,240.0,4.0,-13,0.000810019355729903,13.903521017776214
fixed-00000014,240.0,4.0,-12,0.0010352419124109889,13.401935191968363
fixed-00000014,240.0,4.0,-11,0.0009743367247745276,12.881202923645205
fixed-00000014,240.0,4.0,-10,0.0013245023731022797,12.338899720932346
fixed-00000014,240.0,4.0,-9,0.0020226272088842536,11.772044157333369
fixed-00000014,240.0,4.0,-8,0.0017745521393352337,11.176900501616302
fixed-00000014,240.0,4.0,-7,0.0022658041731147245,10.548681150469449
fixed-00000014,240.0,4.0,-6,0.0038932850059982156,9.881078656044693
fixed-00000014,240.0,4.0,-5,0.0043669001254334604,9.165490343367907
fixed-00000014,240.0,4.0,-4,0.006074702122601167,8.389645509317276
fixed-00000014,240.0,4.0,-3,0.0068886794192234615,7.534952908764538
fixed-00000014,240.0,4.0,-2,0.026045127492721632,6.570714442852491
fixed-00000014,240.0,4.0,-1,0.12095992177310734,5.438975549640787
fixed-00000014,240.0,4.0,0,0.13053186192095445,4.000000000000128
fixed-00000014,240.0,4.0,1,0.10118157128054261,1.5578535504268984
fixed-00000014,240.0,4.0,2,0.0,0.0
fixed-00000014,240.0,4.0,3,0.0,0.0
fixed-00000014,240.0,4.0,4,0.0,0.0
fixed-00000014,240.0,4.0,5,0.0,0.0
fixed-00000014,240.0,4.0,6,0.0,0.0
fixed-00000014,240.0,4.0,7,0.0,0.0
fixed-00000014,240.0,4.0,8,0.0,0.0
fixed-00000014,240.0,4.0,9,0.0,0.0
fixed-00000014,240.0,4.0,10,0.0,0.0
fixed-00000014,240.0,4.0,11,0.0,0.0
fixed-00000014,240.0,4.0,12,0.0,0.0
fixed-00000014,240.0,4.0,13,0.0,0.0
fixed-00000014,240.0,4.0,14,0.0,0.0
fixed-00000014,240.0,4.0,15,0.0,0.0
fixed-00000023,330.0,4.0,-15,0.0010146185135479502,12.832834315133255
fixed-00000023,330.0,4.0,-14,0.0010106343530033714,12.43923046584949
fixed-00000023,330.0,4.0,-13,0.00113675156804952,12.0329676048014
fixed-00000023,330.0,4.0,-12,0.001281563251884192,11.612716944258466
fixed-00000023,330.0,4.0,-11,0.0013164373493740687,11.176900501616302
fixed-00000023,330.0,4.0,-10,0.001643865368537649,10.723620343405443
fixed-00000023,330.0,4.0,-9,0.0022883996898208554,10.250559696102783
fixed-00000023,330.0,4.0,-8,0.0019234422007453934,9.754840910694881
fixed-00000023,330.0,4.0,-7,0.0023829689460136273,9.232814767905225
fixed-00000023,330.0,4.0,-6,0.004545498931609405,8.6797355991839
fixed-00000023,330.0,4.0,-5,0.003972882521638405,8.089236042823956
fixed-00000023,330.0,4.0,-4,0.004884728337599716,7.452425884783281
fixed-00000023,330.0,4.0,-3,0.008976266552749962,6.756222279782023
fixed-00000023,330.0,4.0,-2,0.020375130271985894,5.9799161810314985
fixed-00000023,330.0,4.0,-1,0.09731628088957352,5.086965666639671
fixed-00000023,330.0,4.0,0,0.03323124018996264,3.999999999999943
fixed-00000023,330.0,4.0,1,0.16725814291857757,2.4754257179255603
fixed-00000023,330.0,4.0,2,0.0,0.0
fixed-00000023,330.0,4.0,3,0.0,0.0
fixed-00000023,330.0,4.0,4,0.0,0.0
fixed-00000023,330.0,4.0,5,0.0,0.0
fixed-00000023,330.0,4.0,6,0.0,0.0
fixed-00000023,330.0,4.0,7,0.0,0.0
fixed-00000023,330.0,4.0,8,0.0,0.0
fixed-00000023,330.0,4.0,9,0.0,0.0
fixed-00000023,330.0,4.0,10,0.0,0.0
fixed-00000023,330.0,4.0,11,0.0,0.0
fixed-00000023,330.0,4.0,12,0.0,0.0
fixed-00000023,330.0,4.0,13,0.0,0.0
fixed-00000023,330.0,4.0,14,0.0,0.0
fixed-00000023,330.0,4.0,15,0.0,0.0
fixed-00000025,350.0,4.0,-15,0.0011101911583165608,12.496206306817086
fixed-00000025,350.0,4.0,-14,0.0010991584497504017,12.115293466158093
fixed-00000025,350.0,4.0,-13,0.00119699291386498,11.722199994673844
fixed-00000025,350.0,4.0,-12,0.0013140883513863275,11.315656312084926
fixed-00000025,350.0,4.0,-11,0.0013850964198323526,10.894156499405454
fixed-00000025,350.0,4.0,-10,0.0016932924191876686,10.45589172636997
fixed-00000025,350.0,4.0,-9,0.002284852147501551,9.998657437886877
fixed-00000025,350.0,4.0,-8,0.0019312561525715694,9.519720429176374
fixed-00000025,350.0,4.0,-7,0.002381372063191887,9.015622340555609
fixed-00000025,350.0,4.0,-6,0.0045740503674967644,8.48187791167723
fixed-00000025,350.0,4.0,-5,0.0038290210425919865,7.9124896307686186
fixed-00000025,350.0,4.0,-4,0.004566736251078079,7.299120418664657
fixed-00000025,350.0,4.0,-3,0.009343835595359362,6.629573746376295
fixed-00000025,350.0,4.0,-2,0.018702767993035496,5.884705145226164
fixed-00000025,350.0,4.0,-1,0.08851129711866515,5.031170204831909
fixed-00000025,350.0,4.0,0,0.03233757422403662,4.000000000000043
fixed-00000025,350.0,4.0,1,0.1714539607563872,2.586837597448465
fixed-00000025,350.0,4.0,2,0.0,0.0
fixed-00000025,350.0,4.0,3,0.0,0.0
fixed-00000025,350.0,4.0,4,0.0,0.0
fixed-00000025,350.0,4.0,5,0.0,0.0
fixed-00000025,350.0,4.0,6,0.0,0.0
fixed-00000025,350.0,4.0,7,0.0,0.0
fixed-00000025,350.0,4.0,8,0.0,0.0
fixed-00000025,350.0,4.0,9,0.0,0.0
fixed-00000025,350.0,4.0,10,0.0,0.0
fixed-00000025,350.0,4.0,11,0.0,0.0
fixed-00000025,350.0,4.0,12,0.0,0.0
fixed-00000025,350.0,4.0,13,0.0,0.0
fixed-00000025,350.0,4.0,14,0.0,0.0
fixed-00000025,350.0,4.0,15,0.0,0.0
fixed-00000001,110.0,4.0,-15,0.0007412530535292215,21.574754793732083
fixed-00000001,110.0,4.0,-14,0.0005857888391169503,20.861019691517996
fixed-00000001,110.0,4.0,-13,0.0007415322531132563,20.12314981933116
fixed-00000001,110.0,4.0,-12,0.0013350269952864973,19.358381089041814
fixed-00000001,110.0,4.0,-11,0.001214625864551336,18.563384620134798
fixed-00000001,110.0,4.0,-10,0.001388638679825269,17.73409081271616
fixed-00000001,110.0,4.0,-9,0.0022790356187041513,16.86543602782575
fixed-00000001,110.0,4.0,-8,0.002492379726667531,15.950985698613678
fixed-00000001,110.0,4.0,-7,0.0029921332239456005,14.982351111948859
