case_id,energy_ev,grazing_angle_deg,order,efficiency,diffraction_angle_deg
fixed-00000000,51.031,4.0,-15,0.0002420735956213871,31.592684208420422
fixed-00000000,51.031,4.0,-14,0.0001885509931122755,30.513240899031942
fixed-00000000,51.031,4.0,-13,0.00015259875937049668,29.3981266579136
fixed-00000000,51.031,4.0,-12,0.00022258373479160733,28.2430826673667
fixed-00000000,51.031,4.0,-11,0.00023793704872652848,27.042958026955112
fixed-00000000,51.031,4.0,-10,0.0002576569522427776,25.791424211271462
fixed-00000000,51.031,4.0,-9,0.0002788227747241288,24.4805601660764
fixed-00000000,51.031,4.0,-8,0.0003459977846238939,23.100228310925417
fixed-00000000,51.031,4.0,-7,0.0006541128325870775,21.63709620023063
fixed-00000000,51.031,4.0,-6,0.0003569792683537963,20.073021804562856
fixed-00000000,51.031,4.0,-5,0.0008056116886736545,18.382209182495572
fixed-00000000,51.031,4.0,-4,0.0025198157919227608,16.52575062796602
fixed-00000000,51.031,4.0,-3,0.0005064480931517203,14.439839202533307
fixed-00000000,51.031,4.0,-2,0.006124599490076061,12.005394489484559
fixed-00000000,51.031,4.0,-1,0.03425661007427693,8.942057498804587
fixed-00000000,51.031,4.0,0,0.744433435968211,4.000000000000043
fixed-00000000,51.031,4.0,1,0.0,0.0
fixed-00000000,51.031,4.0,2,0.0,0.0
fixed-00000000,51.031,4.0,3,0.0,0.0
fixed-00000000,51.031,4.0,4,0.0,0.0
fixed-00000000,51.031,4.0,5,0.0,0.0
fixed-00000000,51.031,4.0,6,0.0,0.0
fixed-00000000,51.031,4.0,7,0.0,0.0
fixed-00000000,51.031,4.0,8,0.0,0.0
fixed-00000000,51.031,4.0,9,0.0,0.0
fixed-00000000,51.031,4.0,10,0.0,0.0
fixed-00000000,51.031,4.0,11,0.0,0.0
fixed-00000000,51.031,4.0,12,0.0,0.0
fixed-00000000,51.031,4.0,13,0.0,0.0
fixed-00000000,51.031,4.0,14,0.0,0.0
fixed-00000000,51.031,4.0,15,0.0,0.0
fixed-00000001,51.535,4.0,-15,0.0002420960743939368,31.436421708706995
fixed-00000001,51.535,4.0,-14,0.00018912448948796412,30.36275821356324
fixed-00000001,51.535,4.0,-13,0.00015421160789501004,29.253591196974362
fixed-00000001,51.535,4.0,-12,0.00022278477966423247,28.104684382152477
fixed-00000001,51.535,4.0,-11,0.0002393447119976558,26.910914314750777
fixed-00000001,51.535,4.0,-10,0.000259196150520318,25.66598646074098
fixed-00000001,51.535,4.0,-9,0.0002797826333249108,24.362022719115586
fixed-00000001,51.535,4.0,-8,0.0003476041366305783,22.988941118718657
fixed-00000001,51.535,4.0,-7,0.0006577918206691991,21.533483385001645
fixed-00000001,51.535,4.0,-6,0.0003593775100265811,19.977610201627357
fixed-00000001,51.535,4.0,-5,0.0008091262522515045,18.295674988789102
fixed-00000001,51.535,4.0,-4,0.002538901966898642,16.449002142991773
fixed-00000001,51.535,4.0,-3,0.0005128057366479661,14.374181651570808
fixed-00000001,51.535,4.0,-2,0.006171578843471366,11.952922998109997
fixed-00000001,51.535,4.0,-1,0.034640742810065996,8.906956102060562
fixed-00000001,51.535,4.0,0,0.7411906808253292,4.000000000000043
fixed-00000001,51.535,4.0,1,0.0,0.0
fixed-00000001,51.535,4.0,2,0.0,0.0
fixed-00000001,51.535,4.0,3,0.0,0.0
fixed-00000001,51.535,4.0,4,0.0,0.0
fixed-00000001,51.535,4.0,5,0.0,0.0
fixed-00000001,51.535,4.0,6,0.0,0.0
fixed-00000001,51.535,4.0,7,0.0,0.0
fixed-00000001,51.535,4.0,8,0.0,0.0
fixed-00000001,51.535,4.0,9,0.0,0.0
fixed-00000001,51.535,4.0,10,0.0,0.0
fixed-00000001,51.535,4.0,11,0.0,0.0
fixed-00000001,51.535,4.0,12,0.0,0.0
fixed-00000001,51.535,4.0,13,0.0,0.0
fixed-00000001,51.535,4.0,14,0.0,0.0
