trial_index,loss,width_to_period_ratio,depth_nm,left_wall_angle_deg,right_wall_angle_deg,top_cap_thickness_nm
0,0.0006301972490544359,0.559841938316822,14.670932203531265,23.733923137187958,9.607844352722168,0.8505224466323853
1,9.920897399203237e-05,0.7197277882136405,15.360732097178698,10.184660130180418,25.17091338057071,0.4509652081876993
2,0.0001896714371689199,0.7550492544658483,14.920585519634187,27.500166203826666,14.332157345488667,0.6175946306437254
3,0.0010273291929234294,0.5951631176285446,15.110133657231927,15.609543952159584,23.571582343429327,1.2805803000926972
4,0.0012135595412829643,0.6180788500234484,14.778706849552691,5.523195648565888,19.257774595171213,1.1051947420462966
5,0.0003828448327192747,0.7769394520670176,15.19048423692584,19.023249153979123,15.972642386332154,0.6922662818804384
6,0.00017322571815507978,0.6669475577771664,14.528077929280698,14.073079004883766,27.00907722581178,0.3762304337695241
7,0.0003922486206877584,0.5080872440710664,15.440107064321637,25.914491801522672,5.096321920864284,1.0257304368540645
8,0.0007069921594548622,0.536083497479558,14.96778885088861,11.78502400405705,15.883254534564912,0.5155852634459734
9,0.00017625558412675751,0.6761949567124248,15.001400272361934,25.28506558854133,18.947375514544547,0.9151460818946362
10,3.4707774565637e-05,0.6986065425410005,14.948156318830302,26.77712060101672,25.807447108901915,0.31397457389333144
11,4.249878908603694e-06,0.7001961046237989,14.5,22.584393392464747,5.0,0.3
12,9.899025466327263e-06,0.7118371734162181,14.5,26.917708542576463,30.0,0.6758571274533822
13,3.1190371135162716e-06,0.7012275371051001,14.5,30.0,5.0,0.6188063993310149
14,9.527236792790842e-06,0.7105336895684907,14.5,18.46309395566999,30.0,0.3
15,1.9496854764615415e-05,0.7296397656781689,14.5,30.0,5.0,1.3
16,2.5665539047620918e-05,0.6927031595634444,14.5,30.0,30.0,0.3
17,0.00045520934654126523,0.6951296844142187,14.5,5.0,30.0,1.3
18,2.1580490951526635e-05,0.7189110105891675,14.5,30.0,5.0,0.3
19,4.541250691751248e-06,0.7126528351134837,14.5,30.0,5.0,0.890112966299039
