case_id,energy_ev,grazing_angle_deg,order,efficiency,diffraction_angle_deg
fixed-00000000,51.031,4.0,-15,0.00023980879877286132,31.592684208420422
fixed-00000000,51.031,4.0,-14,0.00018805421960438966,30.513240899031942
fixed-00000000,51.031,4.0,-13,0.00015321611166980238,29.3981266579136
fixed-00000000,51.031,4.0,-12,0.0002277934507825547,28.2430826673667
fixed-00000000,51.031,4.0,-11,0.00024128022646270015,27.042958026955112
fixed-00000000,51.031,4.0,-10,0.0002598535133919988,25.791424211271462
fixed-00000000,51.031,4.0,-9,0.00028486855771518206,24.4805601660764
fixed-00000000,51.031,4.0,-8,0.00035535076318583234,23.100228310925417
fixed-00000000,51.031,4.0,-7,0.000657595519759334,21.63709620023063
fixed-00000000,51.031,4.0,-6,0.0003584796975775502,20.073021804562856
fixed-00000000,51.031,4.0,-5,0.0008297011703602203,18.382209182495572
fixed-00000000,51.031,4.0,-4,0.0025222480344217423,16.52575062796602
fixed-00000000,51.031,4.0,-3,0.0004949935392142676,14.439839202533307
fixed-00000000,51.031,4.0,-2,0.00620174402108134,12.005394489484559
fixed-00000000,51.031,4.0,-1,0.034254795899705204,8.942057498804587
fixed-00000000,51.031,4.0,0,0.7410775940334033,4.000000000000043
fixed-00000000,51.031,4.0,1,0.0,0.0
fixed-00000000,51.031,4.0,2,0.0,0.0
fixed-00000000,51.031,4.0,3,0.0,0.0
fixed-00000000,51.031,4.0,4,0.0,0.0
fixed-00000000,51.031,4.0,5,0.0,0.0
fixed-00000000,51.031,4.0,6,0.0,0.0
fixed-00000000,51.031,4.0,7,0.0,0.0
fixed-00000000,51.031,4.0,8,0.0,0.0
fixed-00000000,51.031,4.0,9,0.0,0.0
fixed-00000000,51.031,4.0,10,0.0,0.0
fixed-00000000,51.031,4.0,11,0.0,0.0
fixed-00000000,51.031,4.0,12,0.0,0.0
fixed-00000000,51.031,4.0,13,0.0,0.0
fixed-00000000,51.031,4.0,14,0.0,0.0
fixed-00000000,51.031,4.0,15,0.0,0.0
fixed-00000007,54.562,4.0,-15,0.00033586068465388654,30.5453234843525
fixed-00000007,54.562,4.0,-14,0.00024260430056167082,29.504558524522125
fixed-00000007,54.562,4.0,-13,0.00020592816937199624,28.429252758579118
fixed-00000007,54.562,4.0,-12,0.0002905034242090199,27.31529883866422
fixed-00000007,54.562,4.0,-11,0.0003040604178738552,26.157730318663887
fixed-00000007,54.562,4.0,-10,0.0003258012227759567,24.95044714187371
fixed-00000007,54.562,4.0,-9,0.0003564218782665338,23.685816989610885
fixed-00000007,54.562,4.0,-8,0.0004311508379835653,22.354076130395256
fixed-00000007,54.562,4.0,-7,0.0007912241964595942,20.942390803800237
fixed-00000007,54.562,4.0,-6,0.0004458403187827768,19.433309634283134
fixed-00000007,54.562,4.0,-5,0.0009632411772973739,17.802041099664052
fixed-00000007,54.562,4.0,-4,0.0029652524241981565,16.011238456285938
fixed-00000007,54.562,4.0,-3,0.0006152425870849708,13.999764328947691
fixed-00000007,54.562,4.0,-2,0.007075849384830782,11.65385026617382
fixed-00000007,54.562,4.0,-1,0.03954519992935637,8.707173652481345
fixed-00000007,54.562,4.0,0,0.7485165588288822,4.000000000000043
fixed-00000007,54.562,4.0,1,0.0,0.0
fixed-00000007,54.562,4.0,2,0.0,0.0
fixed-00000007,54.562,4.0,3,0.0,0.0
fixed-00000007,54.562,4.0,4,0.0,0.0
fixed-00000007,54.562,4.0,5,0.0,0.0
fixed-00000007,54.562,4.0,6,0.0,0.0
fixed-00000007,54.562,4.0,7,0.0,0.0
fixed-00000007,54.562,4.0,8,0.0,0.0
fixed-00000007,54.562,4.0,9,0.0,0.0
fixed-00000007,54.562,4.0,10,0.0,0.0
fixed-00000007,54.562,4.0,11,0.0,0.0
fixed-00000007,54.562,4.0,12,0.0,0.0
fixed-00000007,54.562,4.0,13,0.0,0.0
fixed-00000007,54.562,4.0,14,0.0,0.0
fixed-00000007,54.562,4.0,15,0.0,0.0
fixed-00000020,61.073,4.0,-15,0.000589385018580771,28.864680966632505
fixed-00000020,61.073,4.0,-14,0.0003624405774497975,27.885699859513366
fixed-00000020,61.073,4.0,-13,0.000310083032669189,26.87403003813465
fixed-00000020,61.073,4.0,-12,0.0004389100160788358,25.82580921538205
fixed-00000020,61.073,4.0,-11,0.00043209849657118674,24.736369475126722
fixed-00000020,61.073,4.0,-10,0.0004529483550021104,23.59998064646446
fixed-00000020,61.073,4.0,-9,0.0005181363495428684,22.40947801235535
fixed-00000020,61.073,4.0,-8,0.0005867647637190476,21.15570346423864
fixed-00000020,61.073,4.0,-7,0.0010388753578985594,19.82663133303464
fixed-00000020,61.073,4.0,-6,0.0006404738357539283,18.405929733391346
fixed-00000020,61.073,4.0,-5,0.0012219637265472546,16.87043566950011
fixed-00000020,61.073,4.0,-4,0.003777145913429642,15.18533385674489
fixed-00000020,61.073,4.0,-3,0.0008744702094275222,13.29381650433676
fixed-00000020,61.073,4.0,-2,0.008680865275073151,11.090725979084482
fixed-00000020,61.073,4.0,-1,0.04949911159205933,8.332426742500942
