depth_nm,depth_wavelengths,t0_rcwa,t0_neviere,energy_rcwa,energy_neviere
2.000000000000000000e+03,3.333333333333333148e-01,8.959105593806218071e-01,8.959105593804578271e-01,9.999999999999995559e-01,9.999999999998012701e-01
2.517629667834576594e+03,4.196049446390960891e-01,8.603083386187743153e-01,8.603083386185220727e-01,9.999999999999945599e-01,9.999999999997073452e-01
3.169229572180423020e+03,5.282049286967371859e-01,8.221172521916431108e-01,8.221172521914106301e-01,1.000000000000001332e+00,9.999999999997059019e-01
3.989473197550057193e+03,6.649121995916762451e-01,7.438965666348940076e-01,7.438965666347960859e-01,1.000000000000002887e+00,9.999999999998669953e-01
5.022008040591447752e+03,8.370013400985746310e-01,6.128892113888161353e-01,6.128892113894355287e-01,1.000000000000004219e+00,1.000000000000672351e+00
6.321778217548408065e+03,1.053629702924734568e+00,4.874062965565698624e-01,4.874062965569977424e-01,1.000000000000003775e+00,1.000000000000480282e+00
7.957948196985137656e+03,1.326324699497522852e+00,3.062958277304456689e-01,3.062958277301762733e-01,1.000000000000006439e+00,9.999999999995695665e-01
1.001758323791022849e+04,1.669597206318371496e+00,1.860114943628486395e-01,1.860114943625410522e-01,1.000000000000012879e+00,9.999999999993622879e-01
1.261028237988257206e+04,2.101713729980428713e+00,2.152995787869416422e-01,2.152995787867683086e-01,1.000000000000007327e+00,9.999999999998675504e-01
1.587401051968198590e+04,2.645668419946997751e+00,5.061523845790353304e-01,5.061523845787356812e-01,1.000000000000004441e+00,9.999999999998868683e-01
1.998243991593476312e+04,3.330406652655793831e+00,9.105846698224403513e-01,9.105846698228320379e-01,1.000000000000004441e+00,1.000000000000530243e+00
2.515419178403965634e+04,4.192365297339942565e+00,7.819029147386256096e-01,7.819029147377982714e-01,1.000000000000003775e+00,9.999999999988297139e-01
3.166446975294949516e+04,5.277411625491582825e+00,1.918673688041099279e-01,1.918673688046675374e-01,1.000000000000008216e+00,1.000000000002087663e+00
3.985970423313810898e+04,6.643284038856351437e+00,7.734665950310102289e-01,7.734665950276943258e-01,1.000000000000001332e+00,9.999999999965074604e-01
5.017598696422997455e+04,8.362664494038329011e+00,4.350665527600451332e-01,4.350665527615389938e-01,1.000000000000008660e+00,1.000000000002438938e+00
6.316227669701317063e+04,1.052704611616886154e+01,nan,8.991662097561659017e-01,nan,1.000000000002130518e+00
7.950961085018843005e+04,1.325160180836473778e+01,nan,3.457462563398255306e-01,nan,1.000000000008111956e+00
1.000878775772081572e+05,1.668131292953469114e+01,nan,2.553800196832031744e-01,nan,9.999999999993676170e-01
1.259921049894871539e+05,2.099868416491452550e+01,nan,6.852889497186667178e-01,nan,9.999999999922155602e-01
1.586007307172311121e+05,2.643345511953851812e+01,nan,4.484001155373419367e-01,nan,9.999999999922913885e-01
1.996489524969718186e+05,3.327482541616196698e+01,nan,7.250661359846951592e-01,nan,9.999999999905915260e-01
2.513210629792361287e+05,4.188684382987268862e+01,nan,2.103466631452702296e-01,nan,1.000000000013754331e+00
3.163666821541234385e+05,5.272778035902057070e+01,nan,1.998098915709596857e-01,nan,1.000000000012351453e+00
3.982470724528063438e+05,6.637451207546772025e+01,nan,3.691058621684191743e-01,nan,1.000000000015794477e+00
5.013193223677266506e+05,8.355322039462110695e+01,nan,9.267277711371143534e-01,nan,1.000000000026493696e+00
6.310681995258572279e+05,1.051780332543095398e+02,nan,9.488179839152557360e-01,nan,1.000000000004311440e+00
7.943980107766239671e+05,1.323996684627706486e+02,nan,2.117932246831843446e-01,nan,9.999999999600125422e-01
1.000000000000000000e+06,1.666666666666666572e+02,nan,9.482703972843795626e-01,nan,1.000000000009157564e+00
