Energy	alpha
500	14.17636
502	14.11198
504	14.04807
506	13.98314
508	13.92413
510	13.8612
512	13.79816
514	13.73922
516	13.67793
518	13.62086
520	13.56358
522	13.51113
524	13.45333
526	13.40521
528	13.35409
530	13.31039
532	13.25914
534	13.18469
536	13.07794
538	12.99063
540	12.92282
542	12.86544
544	12.80283
546	12.74839
548	12.69001
550	12.6316
552	12.5743
554	12.51306
556	12.45277
558	12.39267
560	12.33691
562	12.27018
564	12.19794
566	12.12199
568	12.05032
570	11.97562
572	11.74128
574	11.62562
576	11.70461
578	11.77956
580	11.80938
582	11.78216
584	11.75389
586	11.72588
588	11.69814
590	11.66243
592	11.62816
594	11.59013
596	11.5569
598	11.52352
600	11.48285
602	11.44578
604	11.40911
606	11.37321
608	11.33711
610	11.29637
612	11.25883
614	11.22128
616	11.18446
618	11.14935
620	11.11103
622	11.07381
624	11.03645
626	11.00037
628	10.96403
630	10.92572
632	10.88855
634	10.85233
636	10.81557
638	10.77912
640	10.74349
642	10.70232
644	10.66657
646	10.63048
648	10.59512
650	10.56005
652	10.52412
654	10.48993
656	10.45424
658	10.41908
660	10.38539
662	10.35032
664	10.31525
666	10.28143
668	10.24696
670	10.21463
672	10.18
674	10.14536
676	10.11363
678	10.08012
680	10.04878
682	10.01565
684	9.9829
686	9.95192
688	9.91934000000001
690	9.88894000000001
692	9.85672
694	9.82585
696	9.79489
698	9.76412000000001
700	9.73352
702	9.70312
704	9.67289
706	9.64285
708	9.61297999999999
710	9.58329000000001
712	9.54977
714	9.52042
716	9.49123
718	9.46222
720	9.43337
722	9.40609000000001
724	9.37757000000001
726	9.34921
728	9.32102
730	9.2944
732	9.26653
734	9.23882
736	9.21126
738	9.1853
740	9.15805
742	9.13096
744	9.10402000000001
746	9.07723
748	9.05059
750	9.0241
752	8.99775
754	8.97009
756	8.94403
758	8.91811
760	8.89234
762	8.86669999999999
764	8.84094
766	8.81435999999999
768	8.78915000000001
770	8.76006
772	8.73511000000001
774	8.71279
776	8.68810999999999
778	8.66356
780	8.63762
782	8.61333
784	8.58916000000001
786	8.56489000000001
788	8.53968
790	8.5119
792	8.48824
794	8.46315
796	8.43974
798	8.41643999999999
800	8.39171
802	8.36866000000001
804	8.34466
806	8.32133
808	8.29863
810	8.27446999999999
812	8.252
814	8.22964
816	8.2058
818	8.18367000000001
820	8.16164999999999
822	8.13814000000001
824	8.11633999999999
826	8.09465
828	8.07145
830	8.04998000000001
832	8.02861
834	8.00572
836	7.98456
838	7.96351
840	7.94092999999999
842	7.92008
844	7.89891
846	7.87703999999999
848	7.8565
850	7.83439
852	7.81404999999999
854	7.79373
856	7.77199
858	7.75193
860	7.7303
862	7.71044000000001
864	7.69298000000001
866	7.66931
868	7.65203
870	7.63254999999999
872	7.61144
874	7.59214
876	7.57164
878	7.55208
880	7.53234999999999
882	7.51237999999999
884	7.49352
886	7.47301
888	7.4534
890	7.43398999999999
892	7.41547
894	7.39530000000001
896	7.37621
898	7.35693000000001
900	7.33737000000001
902	7.31889
904	7.30073
906	7.28117
908	7.26272
910	7.24375999999999
912	7.22512999999999
914	7.20667
916	7.18913000000001
918	7.16988000000001
920	7.1525
922	7.13339000000001
924	7.11617
926	7.0972
928	7.08013
930	7.0613
932	7.04438
934	7.02569
936	7.00892
938	6.99037
940	6.97374000000001
942	6.95533
944	6.93884
946	6.92232
948	6.90422
950	6.88795
952	6.86987000000001
954	6.85374
956	6.83579
958	6.81979
960	6.80197
962	6.78610999999999
964	6.76962
966	6.75269
968	6.73703
970	6.71952
972	6.70399
974	6.6866
976	6.67121
978	6.65394000000001
980	6.63867
982	6.62202000000001
984	6.60638
986	6.59122000000001
988	6.57432
990	6.55937
992	6.54651
994	6.53167000000001
996	6.51493000000001
998	6.50021
1000	6.48506999999999
1002	6.46898
1004	6.45444999999999
1006	6.43798
1008	6.42355999999999
1010	6.4072
1012	6.3929
1014	6.37675
1016	6.36246
1018	6.34833
1020	6.33223
1022	6.31822
1024	6.30222000000001
1026	6.28832
1028	6.27412
1030	6.25863
1032	6.24489
1034	6.22914
1036	6.21550999999999
1038	6.20156
1040	6.18634
1042	6.17287
1044	6.15737
1046	6.14400000000001
1048	6.12866
1050	6.11533
1052	6.10212
1054	6.08686
1056	6.07375
1058	6.05956
1060	6.04555999999999
1062	6.0326
1064	6.01756
1066	6.0047
1068	5.99189
1070	5.97699
1072	5.96427
1074	5.95034
1076	5.93683
1078	5.92426
1080	5.90958000000001
1082	5.89709999999999
1084	5.88467
1086	5.87011
1088	5.85778000000001
1090	5.84524
1092	5.83505
1094	5.82285
1096	5.80947999999999
1098	5.79639
1100	5.78433
1102	5.77025999999999
1104	5.75811
1106	5.74618
1108	5.73206999999999
1110	5.72023
1112	5.70842
1114	5.69443
1116	5.68271
1118	5.67104
1120	5.65716
1122	5.64557000000001
1124	5.63403
1126	5.62026
1128	5.60879
1130	5.59737
1132	5.58371
1134	5.57237000000001
1136	5.56107
1138	5.54752000000001
1140	5.5363
1142	5.52512
1144	5.51168
1146	5.50058
1148	5.48952
1150	5.47618
1152	5.4652
1154	5.45425
1156	5.44101000000001
1158	5.43009000000001
1160	5.41858999999999
1162	5.40706
1164	5.39558
1166	5.38413
1168	5.37271
1170	5.36134
1172	5.35001
1174	5.33871000000001
1176	5.32746
1178	5.31623999999999
1180	5.30506
1182	5.29392
1184	5.28281
1186	5.27173999999999
1188	5.26071
1190	5.24970999999999
1192	5.23875
1194	5.22783
1196	5.21695
1198	5.20610000000001
1200	5.19929
1202	5.18850999999999
1204	5.17777
1206	5.16706000000001
1208	5.15639
1210	5.14575000000001
1212	5.13515
1214	5.12459
1216	5.11405999999999
1218	5.10356
1220	5.09310000000001
1222	5.08266999999999
1224	5.07228000000001
1226	5.06191
1228	5.05158
1230	5.04129
1232	5.03103
1234	5.02081
1236	5.01061
1238	5.00045
1240	4.99033
1242	4.98023000000001
1244	4.97017
1246	4.96013000000001
1248	4.95013
1250	4.94016000000001
1252	4.93022999999999
1254	4.92032
1256	4.91045
1258	4.90061
1260	4.8908
1262	4.88102000000001
1264	4.87127
1266	4.86154999999999
1268	4.85186
1270	4.84220000000001
