case_id,energy_ev,grazing_angle_deg,order,efficiency,diffraction_angle_deg
fixed-00000000,50.0,4.0,-20,8.417018242071284e-05,36.946600757765104
fixed-00000000,50.0,4.0,-19,7.149605719698121e-05,35.99049916925804
fixed-00000000,50.0,4.0,-18,6.955387464699012e-05,35.01190478081956
fixed-00000000,50.0,4.0,-17,7.703076480914814e-05,34.00884370553947
fixed-00000000,50.0,4.0,-16,9.296945331649706e-05,32.97905073283735
fixed-00000000,50.0,4.0,-15,0.00010793834305768062,31.919905276127125
fixed-00000000,50.0,4.0,-14,9.123999229782209e-05,30.828348020108905
fixed-00000000,50.0,4.0,-13,0.00015150492003035394,29.700770649131364
fixed-00000000,50.0,4.0,-12,0.0001773485236432845,28.532867207683132
fixed-00000000,50.0,4.0,-11,0.00010868030745823724,27.319429403774024
fixed-00000000,50.0,4.0,-10,0.0003052875415825161,26.054057638388535
fixed-00000000,50.0,4.0,-9,0.0002982310008572609,24.728741050446132
fixed-00000000,50.0,4.0,-8,0.00014896627705687448,23.333225797914665
fixed-00000000,50.0,4.0,-7,0.0007770403705017944,21.854024375341254
fixed-00000000,50.0,4.0,-6,0.0005078653860387439,20.272780035826898
fixed-00000000,50.0,4.0,-5,0.0004292927326501099,18.563384620134798
fixed-00000000,50.0,4.0,-4,0.0027540016787816852,16.686445270170665
fixed-00000000,50.0,4.0,-3,0.0008952855803731113,14.577325397340658
fixed-00000000,50.0,4.0,-2,0.004777752624549876,12.115293466158093
fixed-00000000,50.0,4.0,-1,0.033732847353992186,9.015622340555609
fixed-00000000,50.0,4.0,0,0.6932838553745532,4.000000000000043
fixed-00000000,50.0,4.0,1,0.0,0.0
fixed-00000000,50.0,4.0,2,0.0,0.0
fixed-00000000,50.0,4.0,3,0.0,0.0
fixed-00000000,50.0,4.0,4,0.0,0.0
fixed-00000000,50.0,4.0,5,0.0,0.0
fixed-00000000,50.0,4.0,6,0.0,0.0
fixed-00000000,50.0,4.0,7,0.0,0.0
fixed-00000000,50.0,4.0,8,0.0,0.0
fixed-00000000,50.0,4.0,9,0.0,0.0
fixed-00000000,50.0,4.0,10,0.0,0.0
fixed-00000000,50.0,4.0,11,0.0,0.0
fixed-00000000,50.0,4.0,12,0.0,0.0
fixed-00000000,50.0,4.0,13,0.0,0.0
fixed-00000000,50.0,4.0,14,0.0,0.0
fixed-00000000,50.0,4.0,15,0.0,0.0
fixed-00000000,50.0,4.0,16,0.0,0.0
fixed-00000000,50.0,4.0,17,0.0,0.0
fixed-00000000,50.0,4.0,18,0.0,0.0
fixed-00000000,50.0,4.0,19,0.0,0.0
fixed-00000000,50.0,4.0,20,0.0,0.0
fixed-00000001,60.0,4.0,-20,0.00021153938489876809,33.66867098629079
fixed-00000001,60.0,4.0,-19,0.00014802358978937644,32.804641534161746
fixed-00000001,60.0,4.0,-18,0.00013732081744457998,31.91990527612714
fixed-00000001,60.0,4.0,-17,0.0001675397376609506,31.012670458853336
fixed-00000001,60.0,4.0,-16,0.000167573872222582,30.0808814961542
fixed-00000001,60.0,4.0,-15,0.00019844643452268993,29.122161170553625
fixed-00000001,60.0,4.0,-14,0.0001833340771921898,28.133735479709266
fixed-00000001,60.0,4.0,-13,0.00024540144544001513,27.112334302138407
fixed-00000001,60.0,4.0,-12,0.00031081733524323526,26.05405763838855
fixed-00000001,60.0,4.0,-11,0.00019983500579439888,24.95419162388059
fixed-00000001,60.0,4.0,-10,0.00046205908808649954,23.80694914738052
fixed-00000001,60.0,4.0,-9,0.0005034847714419607,22.605093498036354
fixed-00000001,60.0,4.0,-8,0.0002365840112661572,21.33937330915093
fixed-00000001,60.0,4.0,-7,0.0011372947890325236,19.997638457525795
fixed-00000001,60.0,4.0,-6,0.0008323482379912534,18.563384620134826
fixed-00000001,60.0,4.0,-5,0.0005800393392573134,17.01319792164763
fixed-00000001,60.0,4.0,-4,0.003958306267163183,15.311873059069754
fixed-00000001,60.0,4.0,-3,0.0014369709513605534,13.401935191968363
fixed-00000001,60.0,4.0,-2,0.00644354883839193,11.176900501616302
fixed-00000001,60.0,4.0,-1,0.04761383237605326,8.389645509317262
fixed-00000001,60.0,4.0,0,0.6901161811791059,4.000000000000128
fixed-00000001,60.0,4.0,1,0.0,0.0
fixed-00000001,60.0,4.0,2,0.0,0.0
fixed-00000001,60.0,4.0,3,0.0,0.0
fixed-00000001,60.0,4.0,4,0.0,0.0
fixed-00000001,60.0,4.0,5,0.0,0.0
fixed-00000001,60.0,4.0,6,0.0,0.0
fixed-00000001,60.0,4.0,7,0.0,0.0
fixed-00000001,60.0,4.0,8,0.0,0.0
fixed-00000001,60.0,4.0,9,0.0,0.0
fixed-00000001,60.0,4.0,10,0.0,0.0
fixed-00000001,60.0,4.0,11,0.0,0.0
fixed-00000001,60.0,4.0,12,0.0,0.0
fixed-00000001,60.0,4.0,13,0.0,0.0
fixed-00000001,60.0,4.0,14,0.0,0.0
fixed-00000001,60.0,4.0,15,0.0,0.0
fixed-00000001,60.0,4.0,16,0.0,0.0
fixed-00000001,60.0,4.0,17,0.0,0.0
fixed-00000001,60.0,4.0,18,0.0,0.0
fixed-00000001,60.0,4.0,19,0.0,0.0
fixed-00000001,60.0,4.0,20,0.0,0.0
fixed-00000002,70.0,4.0,-20,0.0003410299105662196,31.143727622325613
fixed-00000002,70.0,4.0,-19,0.0002491068311769607,30.3497443387063
fixed-00000002,70.0,4.0,-18,0.00020665471382417302,29.536506828714217
fixed-00000002,70.0,4.0,-17,0.00027453639419119463,28.702365570412915
fixed-00000002,70.0,4.0,-16,0.0002659278718970464,27.845428820199288
fixed-00000002,70.0,4.0,-15,0.0002880731829677787,26.963509729777833
fixed-00000002,70.0,4.0,-14,0.0003076669466236159,26.054057638388535
fixed-00000002,70.0,4.0,-13,0.0003570672942163373,25.114067339116176
fixed-00000002,70.0,4.0,-12,0.00044766345334335564,24.13995702449016
fixed-00000002,70.0,4.0,-11,0.0003392257115183832,23.127400592828295
fixed-00000002,70.0,4.0,-10,0.0006218483703061808,22.071091552917864
fixed-00000002,70.0,4.0,-9,0.0007311413576108771,20.964400995176362
fixed-00000002,70.0,4.0,-8,0.0003771701751201617,19.798865027537445
fixed-00000002,70.0,4.0,-7,0.0014849784211396812,18.563384620134798
fixed-00000002,70.0,4.0,-6,0.0012239000921251619,17.242912058772163
fixed-00000002,70.0,4.0,-5,0.0007553993674071589,15.816153021261812
fixed-00000002,70.0,4.0,-4,0.0051942183361494264,14.251197562253566
fixed-00000002,70.0,4.0,-3,0.002130551084637896,12.496206306817058
fixed-00000002,70.0,4.0,-2,0.008116517977960282,10.45589172636997
fixed-00000002,70.0,4.0,-1,0.06309909094484592,7.9124896307686186
fixed-00000002,70.0,4.0,0,0.6827330732702992,4.000000000000043
fixed-00000002,70.0,4.0,1,0.0,0.0
fixed-00000002,70.0,4.0,2,0.0,0.0
fixed-00000002,70.0,4.0,3,0.0,0.0
fixed-00000002,70.0,4.0,4,0.0,0.0
fixed-00000002,70.0,4.0,5,0.0,0.0
fixed-00000002,70.0,4.0,6,0.0,0.0
fixed-00000002,70.0,4.0,7,0.0,0.0
fixed-00000002,70.0,4.0,8,0.0,0.0
fixed-00000002,70.0,4.0,9,0.0,0.0
fixed-00000002,70.0,4.0,10,0.0,0.0
fixed-00000002,70.0,4.0,11,0.0,0.0
fixed-00000002,70.0,4.0,12,0.0,0.0
fixed-00000002,70.0,4.0,13,0.0,0.0
fixed-00000002,70.0,4.0,14,0.0,0.0
fixed-00000002,70.0,4.0,15,0.0,0.0
fixed-00000002,70.0,4.0,16,0.0,0.0
fixed-00000002,70.0,4.0,17,0.0,0.0
fixed-00000002,70.0,4.0,18,0.0,0.0
fixed-00000002,70.0,4.0,19,0.0,0.0
fixed-00000002,70.0,4.0,20,0.0,0.0
fixed-00000003,80.0,4.0,-20,0.0006001500911293946,29.122161170553625
fixed-00000003,80.0,4.0,-19,0.0004266765223966503,28.383796025086852
fixed-00000003,80.0,4.0,-18,0.0003204085931191917,27.62738395184673
fixed-00000003,80.0,4.0,-17,0.00045639598006913263,26.85139076255797
fixed-00000003,80.0,4.0,-16,0.00042379245277724564,26.05405763838855
fixed-00000003,80.0,4.0,-15,0.0004218807539428767,25.23335224938701
fixed-00000003,80.0,4.0,-14,0.0005060252079209785,24.38690529633689
fixed-00000003,80.0,4.0,-13,0.0005215264066459088,23.51192678300849
fixed-00000003,80.0,4.0,-12,0.0006383976386634246,22.605093498036354
fixed-00000003,80.0,4.0,-11,0.000553888541344749,21.662394599301848
fixed-00000003,80.0,4.0,-10,0.0008330460920301814,20.678914499078303
fixed-00000003,80.0,4.0,-9,0.0010354813160125403,19.6485188177962
fixed-00000003,80.0,4.0,-8,0.0005878354158785496,18.563384620134826
fixed-00000003,80.0,4.0,-7,0.0019066020857140757,17.413268710318007
fixed-00000003,80.0,4.0,-6,0.001735054596357987,16.18430978152439
fixed-00000003,80.0,4.0,-5,0.0009884882118280445,14.856940312447804
fixed-00000003,80.0,4.0,-4,0.006649795063648268,13.401935191968363
fixed-00000003,80.0,4.0,-3,0.0030221538544699866,11.772044157333355
fixed-00000003,80.0,4.0,-2,0.010024079163711862,9.881078656044693
fixed-00000003,80.0,4.0,-1,0.08127702303558783,7.534952908764481
fixed-00000003,80.0,4.0,0,0.6783730459558918,4.000000000000128
fixed-00000003,80.0,4.0,1,0.0,0.0
fixed-00000003,80.0,4.0,2,0.0,0.0
fixed-00000003,80.0,4.0,3,0.0,0.0
fixed-00000003,80.0,4.0,4,0.0,0.0
fixed-00000003,80.0,4.0,5,0.0,0.0
fixed-00000003,80.0,4.0,6,0.0,0.0
fixed-00000003,80.0,4.0,7,0.0,0.0
fixed-00000003,80.0,4.0,8,0.0,0.0
fixed-00000003,80.0,4.0,9,0.0,0.0
fixed-00000003,80.0,4.0,10,0.0,0.0
fixed-00000003,80.0,4.0,11,0.0,0.0
fixed-00000003,80.0,4.0,12,0.0,0.0
fixed-00000003,80.0,4.0,13,0.0,0.0
fixed-00000003,80.0,4.0,14,0.0,0.0
fixed-00000003,80.0,4.0,15,0.0,0.0
fixed-00000003,80.0,4.0,16,0.0,0.0
fixed-00000003,80.0,4.0,17,0.0,0.0
fixed-00000003,80.0,4.0,18,0.0,0.0
fixed-00000003,80.0,4.0,19,0.0,0.0
fixed-00000003,80.0,4.0,20,0.0,0.0
fixed-00000004,90.0,4.0,-20,0.0009392609386889012,27.45669132490191
fixed-00000004,90.0,4.0,-19,0.000703424451890348,26.763886623772734
fixed-00000004,90.0,4.0,-18,0.0004660037483569929,26.054057638388535
fixed-00000004,90.0,4.0,-17,0.0007029612325268012,25.3257663055293
fixed-00000004,90.0,4.0,-16,0.0006680429271710269,24.57736462946967
fixed-00000004,90.0,4.0,-15,0.0005812789860927518,23.806949147380507
fixed-00000004,90.0,4.0,-14,0.0007859533563031949,23.01230186044222
fixed-00000004,90.0,4.0,-13,0.0007640864794917821,22.19081236476336
fixed-00000004,90.0,4.0,-12,0.0008558977567256911,21.33937330915093
fixed-00000004,90.0,4.0,-11,0.0008710774674532952,20.454237086533084
fixed-00000004,90.0,4.0,-10,0.0011050559713396252,19.530814598225575
fixed-00000004,90.0,4.0,-9,0.0013855767538696719,18.563384620134798
fixed-00000004,90.0,4.0,-8,0.0009121022984674527,17.544659849708694
fixed-00000004,90.0,4.0,-7,0.0023753940008574633,16.46511246866092
fixed-00000004,90.0,4.0,-6,0.0023411407254129175,15.311873059069725
fixed-00000004,90.0,4.0,-5,0.0013199281744815767,14.066817881848479
fixed-00000004,90.0,4.0,-4,0.008225846258521779,12.702966158118315
fixed-00000004,90.0,4.0,-3,0.004105039535123334,11.176900501616302
fixed-00000004,90.0,4.0,-2,0.012112125288438646,9.410012267886245
fixed-00000004,90.0,4.0,-1,0.10167538916718974,7.227774780095132
fixed-00000004,90.0,4.0,0,0.6737986181447703,4.000000000000043
fixed-00000004,90.0,4.0,1,0.0,0.0
fixed-00000004,90.0,4.0,2,0.0,0.0
fixed-00000004,90.0,4.0,3,0.0,0.0
fixed-00000004,90.0,4.0,4,0.0,0.0
fixed-00000004,90.0,4.0,5,0.0,0.0
fixed-00000004,90.0,4.0,6,0.0,0.0
fixed-00000004,90.0,4.0,7,0.0,0.0
fixed-00000004,90.0,4.0,8,0.0,0.0
fixed-00000004,90.0,4.0,9,0.0,0.0
fixed-00000004,90.0,4.0,10,0.0,0.0
fixed-00000004,90.0,4.0,11,0.0,0.0
fixed-00000004,90.0,4.0,12,0.0,0.0
fixed-00000004,90.0,4.0,13,0.0,0.0
fixed-00000004,90.0,4.0,14,0.0,0.0
fixed-00000004,90.0,4.0,15,0.0,0.0
fixed-00000004,90.0,4.0,16,0.0,0.0
fixed-00000004,90.0,4.0,17,0.0,0.0
fixed-00000004,90.0,4.0,18,0.0,0.0
fixed-00000004,90.0,4.0,19,0.0,0.0
fixed-00000004,90.0,4.0,20,0.0,0.0
fixed-00000005,100.0,4.0,-20,0.0011585141779696358,26.054057638388535
