case_id,energy_ev,grazing_angle_deg,order,efficiency,diffraction_angle_deg
fixed-00000000,50.0,4.0,-20,8.375046335579235e-05,36.946600757765104
fixed-00000000,50.0,4.0,-19,7.113953832760028e-05,35.99049916925804
fixed-00000000,50.0,4.0,-18,6.920704057358257e-05,35.01190478081956
fixed-00000000,50.0,4.0,-17,7.664664682762586e-05,34.00884370553947
fixed-00000000,50.0,4.0,-16,9.250585622201616e-05,32.97905073283735
fixed-00000000,50.0,4.0,-15,0.00010740010280306417,31.919905276127125
fixed-00000000,50.0,4.0,-14,9.078501925215157e-05,30.828348020108905
fixed-00000000,50.0,4.0,-13,0.00015074943273619374,29.700770649131364
fixed-00000000,50.0,4.0,-12,0.00017646416585329506,28.532867207683132
fixed-00000000,50.0,4.0,-11,0.00010813836735890797,27.319429403774024
fixed-00000000,50.0,4.0,-10,0.0003037652091151297,26.054057638388535
fixed-00000000,50.0,4.0,-9,0.0002967438562032972,24.728741050446132
fixed-00000000,50.0,4.0,-8,0.0001482234488401257,23.333225797914665
fixed-00000000,50.0,4.0,-7,0.0007731656176102974,21.854024375341254
fixed-00000000,50.0,4.0,-6,0.0005053328884391995,20.272780035826898
fixed-00000000,50.0,4.0,-5,0.00042715204174101275,18.563384620134798
fixed-00000000,50.0,4.0,-4,0.00274026870379976,16.686445270170665
fixed-00000000,50.0,4.0,-3,0.0008908211914906829,14.577325397340658
fixed-00000000,50.0,4.0,-2,0.004753928108476307,12.115293466158093
fixed-00000000,50.0,4.0,-1,0.03356463672712488,9.015622340555609
fixed-00000000,50.0,4.0,0,0.6898267587741461,4.000000000000043
fixed-00000000,50.0,4.0,1,0.0,0.0
fixed-00000000,50.0,4.0,2,0.0,0.0
fixed-00000000,50.0,4.0,3,0.0,0.0
fixed-00000000,50.0,4.0,4,0.0,0.0
fixed-00000000,50.0,4.0,5,0.0,0.0
fixed-00000000,50.0,4.0,6,0.0,0.0
fixed-00000000,50.0,4.0,7,0.0,0.0
fixed-00000000,50.0,4.0,8,0.0,0.0
fixed-00000000,50.0,4.0,9,0.0,0.0
fixed-00000000,50.0,4.0,10,0.0,0.0
fixed-00000000,50.0,4.0,11,0.0,0.0
fixed-00000000,50.0,4.0,12,0.0,0.0
fixed-00000000,50.0,4.0,13,0.0,0.0
fixed-00000000,50.0,4.0,14,0.0,0.0
fixed-00000000,50.0,4.0,15,0.0,0.0
fixed-00000000,50.0,4.0,16,0.0,0.0
fixed-00000000,50.0,4.0,17,0.0,0.0
fixed-00000000,50.0,4.0,18,0.0,0.0
fixed-00000000,50.0,4.0,19,0.0,0.0
fixed-00000000,50.0,4.0,20,0.0,0.0
fixed-00000003,56.0,4.0,-20,0.00014740504035466536,34.87015771828826
fixed-00000003,56.0,4.0,-19,0.0001056850860228191,33.97254014720802
fixed-00000003,56.0,4.0,-18,0.00010321199960118241,33.05354747796962
fixed-00000003,56.0,4.0,-17,0.00011962015980185791,32.11132090042396
fixed-00000003,56.0,4.0,-16,0.00012640672465095903,31.143727622325613
fixed-00000003,56.0,4.0,-15,0.00015192324793471585,30.1483007624894
fixed-00000003,56.0,4.0,-14,0.0001324615020985119,29.12216117055361
fixed-00000003,56.0,4.0,-13,0.00019426483944403374,28.061914054904143
fixed-00000003,56.0,4.0,-12,0.00024007721761932528,26.963509729777826
fixed-00000003,56.0,4.0,-11,0.000147770011276371,25.82205198127572
fixed-00000003,56.0,4.0,-10,0.00037769455221414906,24.63152775918597
fixed-00000003,56.0,4.0,-9,0.0003915201031444903,23.384414720929982
fixed-00000003,56.0,4.0,-8,0.0001861520228806277,22.071091552917864
fixed-00000003,56.0,4.0,-7,0.0009429890803441285,20.67891449907829
fixed-00000003,56.0,4.0,-6,0.0006527826476217786,19.19069537139167
fixed-00000003,56.0,4.0,-5,0.0004977855380968378,17.58202545932585
fixed-00000003,56.0,4.0,-4,0.0033103754514250336,15.816153021261783
fixed-00000003,56.0,4.0,-3,0.001141932775810652,13.832958309872026
fixed-00000003,56.0,4.0,-2,0.005571287902790782,11.520697333478978
fixed-00000003,56.0,4.0,-1,0.04047356088231669,8.618389378622538
fixed-00000003,56.0,4.0,0,0.6759735219943618,3.999999999999943
fixed-00000003,56.0,4.0,1,0.0,0.0
fixed-00000003,56.0,4.0,2,0.0,0.0
fixed-00000003,56.0,4.0,3,0.0,0.0
fixed-00000003,56.0,4.0,4,0.0,0.0
fixed-00000003,56.0,4.0,5,0.0,0.0
fixed-00000003,56.0,4.0,6,0.0,0.0
fixed-00000003,56.0,4.0,7,0.0,0.0
fixed-00000003,56.0,4.0,8,0.0,0.0
fixed-00000003,56.0,4.0,9,0.0,0.0
fixed-00000003,56.0,4.0,10,0.0,0.0
fixed-00000003,56.0,4.0,11,0.0,0.0
fixed-00000003,56.0,4.0,12,0.0,0.0
fixed-00000003,56.0,4.0,13,0.0,0.0
fixed-00000003,56.0,4.0,14,0.0,0.0
fixed-00000003,56.0,4.0,15,0.0,0.0
fixed-00000003,56.0,4.0,16,0.0,0.0
fixed-00000003,56.0,4.0,17,0.0,0.0
fixed-00000003,56.0,4.0,18,0.0,0.0
fixed-00000003,56.0,4.0,19,0.0,0.0
fixed-00000003,56.0,4.0,20,0.0,0.0
fixed-00000001,52.0,4.0,-20,8.786701751838646e-05,36.21306773953372
fixed-00000001,52.0,4.0,-19,6.907149970668084e-05,35.277692412226145
fixed-00000001,52.0,4.0,-18,7.019366752617742e-05,34.320213567217515
fixed-00000001,52.0,4.0,-17,7.689850600073801e-05,33.338697861385874
fixed-00000001,52.0,4.0,-16,8.915513043033616e-05,32.33092672556606
fixed-00000001,52.0,4.0,-15,0.00010638083967442169,31.294333699791885
fixed-00000001,52.0,4.0,-14,8.893103473964252e-05,30.225922899585846
fixed-00000001,52.0,4.0,-13,0.0001445344702218505,29.12216117055361
fixed-00000001,52.0,4.0,-12,0.00017200927338817864,27.978832749491062
fixed-00000001,52.0,4.0,-11,0.00010460486411275675,26.790839160700358
fixed-00000001,52.0,4.0,-10,0.00029093318224078177,25.55191680686734
fixed-00000001,52.0,4.0,-9,0.00028710461952683987,24.254226681609993
fixed-00000001,52.0,4.0,-8,0.0001430834886305906,22.887737429280307
fixed-00000001,52.0,4.0,-7,0.0007431413198185669,21.439258287991038
fixed-00000001,52.0,4.0,-6,0.0004910001468540846,19.890843436975487
fixed-00000001,52.0,4.0,-5,0.0004133612769872814,18.21698225864874
fixed-00000001,52.0,4.0,-4,0.0026686432426427666,16.379210436004684
fixed-00000001,52.0,4.0,-3,0.0008836810741772892,14.314479289708345
fixed-00000001,52.0,4.0,-2,0.0046897185000842265,11.905217349750558
fixed-00000001,52.0,4.0,-1,0.033732939204813885,8.875055586881118
fixed-00000001,52.0,4.0,0,0.6604375043815646,3.999999999999943
fixed-00000001,52.0,4.0,1,0.0,0.0
fixed-00000001,52.0,4.0,2,0.0,0.0
fixed-00000001,52.0,4.0,3,0.0,0.0
fixed-00000001,52.0,4.0,4,0.0,0.0
fixed-00000001,52.0,4.0,5,0.0,0.0
fixed-00000001,52.0,4.0,6,0.0,0.0
fixed-00000001,52.0,4.0,7,0.0,0.0
fixed-00000001,52.0,4.0,8,0.0,0.0
fixed-00000001,52.0,4.0,9,0.0,0.0
fixed-00000001,52.0,4.0,10,0.0,0.0
fixed-00000001,52.0,4.0,11,0.0,0.0
fixed-00000001,52.0,4.0,12,0.0,0.0
fixed-00000001,52.0,4.0,13,0.0,0.0
fixed-00000001,52.0,4.0,14,0.0,0.0
fixed-00000001,52.0,4.0,15,0.0,0.0
fixed-00000001,52.0,4.0,16,0.0,0.0
fixed-00000001,52.0,4.0,17,0.0,0.0
fixed-00000001,52.0,4.0,18,0.0,0.0
fixed-00000001,52.0,4.0,19,0.0,0.0
fixed-00000001,52.0,4.0,20,0.0,0.0
fixed-00000005,60.0,4.0,-20,0.00021002206549382627,33.66867098629079
fixed-00000005,60.0,4.0,-19,0.0001469618533884502,32.804641534161746
fixed-00000005,60.0,4.0,-18,0.000136335849368253,31.91990527612714
fixed-00000005,60.0,4.0,-17,0.0001663380167843702,31.012670458853336
fixed-00000005,60.0,4.0,-16,0.00016637190650727916,30.0808814961542
fixed-00000005,60.0,4.0,-15,0.0001970230275950065,29.122161170553625
fixed-00000005,60.0,4.0,-14,0.00018201906744568828,28.133735479709266
fixed-00000005,60.0,4.0,-13,0.0002436412418951996,27.112334302138407
fixed-00000005,60.0,4.0,-12,0.0003085879197876568,26.05405763838855
fixed-00000005,60.0,4.0,-11,0.00019840163899027583,24.95419162388059
fixed-00000005,60.0,4.0,-10,0.00045874485314666136,23.80694914738052
fixed-00000005,60.0,4.0,-9,0.0004998734003766284,22.605093498036354
fixed-00000005,60.0,4.0,-8,0.0002348870529840628,21.33937330915093
fixed-00000005,60.0,4.0,-7,0.0011291372563188681,19.997638457525795
fixed-00000005,60.0,4.0,-6,0.0008263780110579679,18.563384620134826
fixed-00000005,60.0,4.0,-5,0.0005758788613136627,17.01319792164763
fixed-00000005,60.0,4.0,-4,0.003929914320610329,15.311873059069754
fixed-00000005,60.0,4.0,-3,0.0014266639160541942,13.401935191968363
fixed-00000005,60.0,4.0,-2,0.006397330864874321,11.176900501616302
fixed-00000005,60.0,4.0,-1,0.047272310196425076,8.389645509317262
fixed-00000005,60.0,4.0,0,0.6851661494208661,4.000000000000128
fixed-00000005,60.0,4.0,1,0.0,0.0
fixed-00000005,60.0,4.0,2,0.0,0.0
fixed-00000005,60.0,4.0,3,0.0,0.0
fixed-00000005,60.0,4.0,4,0.0,0.0
fixed-00000005,60.0,4.0,5,0.0,0.0
fixed-00000005,60.0,4.0,6,0.0,0.0
fixed-00000005,60.0,4.0,7,0.0,0.0
fixed-00000005,60.0,4.0,8,0.0,0.0
fixed-00000005,60.0,4.0,9,0.0,0.0
fixed-00000005,60.0,4.0,10,0.0,0.0
fixed-00000005,60.0,4.0,11,0.0,0.0
fixed-00000005,60.0,4.0,12,0.0,0.0
fixed-00000005,60.0,4.0,13,0.0,0.0
fixed-00000005,60.0,4.0,14,0.0,0.0
fixed-00000005,60.0,4.0,15,0.0,0.0
fixed-00000005,60.0,4.0,16,0.0,0.0
fixed-00000005,60.0,4.0,17,0.0,0.0
fixed-00000005,60.0,4.0,18,0.0,0.0
fixed-00000005,60.0,4.0,19,0.0,0.0
fixed-00000005,60.0,4.0,20,0.0,0.0
fixed-00000004,58.0,4.0,-20,0.0001756811883803049,34.25331820215491
fixed-00000004,58.0,4.0,-19,0.0001241341173658653,33.372966665356735
fixed-00000004,58.0,4.0,-18,0.00011847437698479293,32.471581218714654
fixed-00000004,58.0,4.0,-17,0.0001407712076635404,31.547337432388538
fixed-00000004,58.0,4.0,-16,0.0001445152411173,30.59814209440269
fixed-00000004,58.0,4.0,-15,0.00017283131461034887,29.621574286544927
fixed-00000004,58.0,4.0,-14,0.0001548414217089873,28.614808754843935
fixed-00000004,58.0,4.0,-13,0.0002170391028238472,27.57451460621656
fixed-00000004,58.0,4.0,-12,0.0002718739672228384,26.49671887032283
fixed-00000004,58.0,4.0,-11,0.00017061292960857943,25.37661878313864
fixed-00000004,58.0,4.0,-10,0.0004157090951936717,24.20831707646572
fixed-00000004,58.0,4.0,-9,0.0004417997788814743,22.984437771195857
fixed-00000004,58.0,4.0,-8,0.00020832448738498566,21.69554911191406
fixed-00000004,58.0,4.0,-7,0.0010309794383678078,20.329260263268964
fixed-00000004,58.0,4.0,-6,0.0007334593147632279,18.868733408398285
fixed-00000004,58.0,4.0,-5,0.0005346662991364984,17.290069505789006
fixed-00000004,58.0,4.0,-4,0.0036041880484978875,15.557309048540347
fixed-00000004,58.0,4.0,-3,0.0012750324981853046,13.611687264434664
fixed-00000004,58.0,4.0,-2,0.005967438014468824,11.344155244919364
fixed-00000004,58.0,4.0,-1,0.04372468676530674,8.500836443523596
fixed-00000004,58.0,4.0,0,0.6798663825673448,4.000000000000128
fixed-00000004,58.0,4.0,1,0.0,0.0
fixed-00000004,58.0,4.0,2,0.0,0.0
fixed-00000004,58.0,4.0,3,0.0,0.0
fixed-00000004,58.0,4.0,4,0.0,0.0
fixed-00000004,58.0,4.0,5,0.0,0.0
fixed-00000004,58.0,4.0,6,0.0,0.0
fixed-00000004,58.0,4.0,7,0.0,0.0
fixed-00000004,58.0,4.0,8,0.0,0.0
fixed-00000004,58.0,4.0,9,0.0,0.0
fixed-00000004,58.0,4.0,10,0.0,0.0
fixed-00000004,58.0,4.0,11,0.0,0.0
fixed-00000004,58.0,4.0,12,0.0,0.0
fixed-00000004,58.0,4.0,13,0.0,0.0
fixed-00000004,58.0,4.0,14,0.0,0.0
fixed-00000004,58.0,4.0,15,0.0,0.0
fixed-00000004,58.0,4.0,16,0.0,0.0
fixed-00000004,58.0,4.0,17,0.0,0.0
fixed-00000004,58.0,4.0,18,0.0,0.0
fixed-00000004,58.0,4.0,19,0.0,0.0
fixed-00000004,58.0,4.0,20,0.0,0.0
fixed-00000006,62.0,4.0,-20,0.00024435920486958124,33.11351724364655
fixed-00000006,62.0,4.0,-19,0.00017148940336120168,32.26494916711735
fixed-00000006,62.0,4.0,-18,0.00015410793647248675,31.39598817273032
fixed-00000006,62.0,4.0,-17,0.00019289565390681035,30.504873620508654
fixed-00000006,62.0,4.0,-16,0.0001896940708742843,29.589585756048294
fixed-00000006,62.0,4.0,-15,0.00022082327627113296,28.647788985216394
fixed-00000006,62.0,4.0,-14,0.00021117866247916776,27.67675812771254
fixed-00000006,62.0,4.0,-13,0.0002710154277353075,26.673280960165123
fixed-00000006,62.0,4.0,-12,0.00034491811475336495,25.633527011961547
