case_id,energy_ev,grazing_angle_deg,order,efficiency,diffraction_angle_deg
fixed-00000000,50.0,4.0,-20,9.017145684713952e-05,36.946600757765104
fixed-00000000,50.0,4.0,-19,7.923221723667689e-05,35.99049916925804
fixed-00000000,50.0,4.0,-18,6.408359286937809e-05,35.01190478081956
fixed-00000000,50.0,4.0,-17,7.533720248161578e-05,34.00884370553947
fixed-00000000,50.0,4.0,-16,9.01018287172099e-05,32.97905073283735
fixed-00000000,50.0,4.0,-15,0.00010741095834839981,31.919905276127125
fixed-00000000,50.0,4.0,-14,9.237861910061323e-05,30.828348020108905
fixed-00000000,50.0,4.0,-13,0.0001507795596205208,29.700770649131364
fixed-00000000,50.0,4.0,-12,0.00017817574913189755,28.532867207683132
fixed-00000000,50.0,4.0,-11,0.00010108205620455387,27.319429403774024
fixed-00000000,50.0,4.0,-10,0.00029242535101758394,26.054057638388535
fixed-00000000,50.0,4.0,-9,0.0002889782327118088,24.728741050446132
fixed-00000000,50.0,4.0,-8,0.00016065991296097576,23.333225797914665
fixed-00000000,50.0,4.0,-7,0.0007265345953568242,21.854024375341254
fixed-00000000,50.0,4.0,-6,0.0004901172163277704,20.272780035826898
fixed-00000000,50.0,4.0,-5,0.0003713682115591624,18.563384620134798
fixed-00000000,50.0,4.0,-4,0.0027159416793245687,16.686445270170665
fixed-00000000,50.0,4.0,-3,0.0008884861767307289,14.577325397340658
fixed-00000000,50.0,4.0,-2,0.004646128870685486,12.115293466158093
fixed-00000000,50.0,4.0,-1,0.03340821363276753,9.015622340555609
fixed-00000000,50.0,4.0,0,0.6893896366848543,4.000000000000043
fixed-00000000,50.0,4.0,1,0.0,0.0
fixed-00000000,50.0,4.0,2,0.0,0.0
fixed-00000000,50.0,4.0,3,0.0,0.0
fixed-00000000,50.0,4.0,4,0.0,0.0
fixed-00000000,50.0,4.0,5,0.0,0.0
fixed-00000000,50.0,4.0,6,0.0,0.0
fixed-00000000,50.0,4.0,7,0.0,0.0
fixed-00000000,50.0,4.0,8,0.0,0.0
fixed-00000000,50.0,4.0,9,0.0,0.0
fixed-00000000,50.0,4.0,10,0.0,0.0
fixed-00000000,50.0,4.0,11,0.0,0.0
fixed-00000000,50.0,4.0,12,0.0,0.0
fixed-00000000,50.0,4.0,13,0.0,0.0
fixed-00000000,50.0,4.0,14,0.0,0.0
fixed-00000000,50.0,4.0,15,0.0,0.0
fixed-00000000,50.0,4.0,16,0.0,0.0
fixed-00000000,50.0,4.0,17,0.0,0.0
fixed-00000000,50.0,4.0,18,0.0,0.0
fixed-00000000,50.0,4.0,19,0.0,0.0
fixed-00000000,50.0,4.0,20,0.0,0.0
fixed-00000007,120.0,4.0,-20,0.0009521476640557225,23.80694914738052
fixed-00000007,120.0,4.0,-19,0.0008761769974159008,23.21337059431326
fixed-00000007,120.0,4.0,-18,0.0006484702146981213,22.605093498036354
fixed-00000007,120.0,4.0,-17,0.000997865484886075,21.980894517242845
fixed-00000007,120.0,4.0,-16,0.0011690720103785235,21.33937330915093
fixed-00000007,120.0,4.0,-15,0.0010621717180467867,20.67891449907833
fixed-00000007,120.0,4.0,-14,0.0015006569389477665,19.997638457525795
fixed-00000007,120.0,4.0,-13,0.0017275198871868384,19.293336575596342
fixed-00000007,120.0,4.0,-12,0.0015252449280077048,18.563384620134826
fixed-00000007,120.0,4.0,-11,0.0019466127382753156,17.80462435107323
fixed-00000007,120.0,4.0,-10,0.0021273511541618504,17.01319792164763
fixed-00000007,120.0,4.0,-9,0.002455430230357282,16.18430978152439
fixed-00000007,120.0,4.0,-8,0.002509388648639378,15.311873059069754
fixed-00000007,120.0,4.0,-7,0.0035757831264269847,14.387963517781984
fixed-00000007,120.0,4.0,-6,0.004046331241177188,13.401935191968363
fixed-00000007,120.0,4.0,-5,0.002688095999173488,12.338899720932332
fixed-00000007,120.0,4.0,-4,0.0123549372690906,11.176900501616302
fixed-00000007,120.0,4.0,-3,0.007651334997414578,9.881078656044693
fixed-00000007,120.0,4.0,-2,0.017623603928240604,8.389645509317262
fixed-00000007,120.0,4.0,-1,0.160399988453708,6.570714442852491
fixed-00000007,120.0,4.0,0,0.6086710400553953,4.000000000000128
fixed-00000007,120.0,4.0,1,0.0,0.0
fixed-00000007,120.0,4.0,2,0.0,0.0
fixed-00000007,120.0,4.0,3,0.0,0.0
fixed-00000007,120.0,4.0,4,0.0,0.0
fixed-00000007,120.0,4.0,5,0.0,0.0
fixed-00000007,120.0,4.0,6,0.0,0.0
fixed-00000007,120.0,4.0,7,0.0,0.0
fixed-00000007,120.0,4.0,8,0.0,0.0
fixed-00000007,120.0,4.0,9,0.0,0.0
fixed-00000007,120.0,4.0,10,0.0,0.0
fixed-00000007,120.0,4.0,11,0.0,0.0
fixed-00000007,120.0,4.0,12,0.0,0.0
fixed-00000007,120.0,4.0,13,0.0,0.0
fixed-00000007,120.0,4.0,14,0.0,0.0
fixed-00000007,120.0,4.0,15,0.0,0.0
fixed-00000007,120.0,4.0,16,0.0,0.0
fixed-00000007,120.0,4.0,17,0.0,0.0
fixed-00000007,120.0,4.0,18,0.0,0.0
fixed-00000007,120.0,4.0,19,0.0,0.0
fixed-00000007,120.0,4.0,20,0.0,0.0
fixed-00000006,110.0,4.0,-20,0.0011872809367346995,24.851951542714687
fixed-00000006,110.0,4.0,-19,0.00108575233040791,24.2300299857246
fixed-00000006,110.0,4.0,-18,0.0007199851267900162,23.592732267871042
fixed-00000006,110.0,4.0,-17,0.0010842403406683934,22.938772943565866
fixed-00000006,110.0,4.0,-16,0.0012453827167024174,22.266680028298126
fixed-00000006,110.0,4.0,-15,0.0010236346735766617,21.574754793732083
fixed-00000006,110.0,4.0,-14,0.0013802295887691519,20.861019691517996
fixed-00000006,110.0,4.0,-13,0.0015390999634036983,20.12314981933116
fixed-00000006,110.0,4.0,-12,0.0013423069810295047,19.358381089041814
fixed-00000006,110.0,4.0,-11,0.0015905617521281702,18.563384620134798
fixed-00000006,110.0,4.0,-10,0.0018009762432629058,17.73409081271616
