case_id,energy_ev,grazing_angle_deg,order,efficiency,diffraction_angle_deg
fixed-00000000,50.0,4.0,-20,8.858382091981126e-05,36.946600757765104
fixed-00000000,50.0,4.0,-19,7.731283938809112e-05,35.99049916925804
fixed-00000000,50.0,4.0,-18,6.75616171836565e-05,35.01190478081956
fixed-00000000,50.0,4.0,-17,7.70996301851187e-05,34.00884370553947
fixed-00000000,50.0,4.0,-16,9.242019223632401e-05,32.97905073283735
fixed-00000000,50.0,4.0,-15,0.00010911415835947562,31.919905276127125
fixed-00000000,50.0,4.0,-14,9.259871798529814e-05,30.828348020108905
fixed-00000000,50.0,4.0,-13,0.00015407659025911576,29.700770649131364
fixed-00000000,50.0,4.0,-12,0.00018143828839553252,28.532867207683132
fixed-00000000,50.0,4.0,-11,0.00010443763742420374,27.319429403774024
fixed-00000000,50.0,4.0,-10,0.0003021280823682013,26.054057638388535
fixed-00000000,50.0,4.0,-9,0.00029733227937266826,24.728741050446132
fixed-00000000,50.0,4.0,-8,0.00015556600289291233,23.333225797914665
fixed-00000000,50.0,4.0,-7,0.0007588715268387128,21.854024375341254
fixed-00000000,50.0,4.0,-6,0.0005015883131562834,20.272780035826898
fixed-00000000,50.0,4.0,-5,0.0004019568803793198,18.563384620134798
fixed-00000000,50.0,4.0,-4,0.002762603841380749,16.686445270170665
fixed-00000000,50.0,4.0,-3,0.0009028250229888116,14.577325397340658
fixed-00000000,50.0,4.0,-2,0.0047410567630383135,12.115293466158093
fixed-00000000,50.0,4.0,-1,0.03378872394935617,9.015622340555609
fixed-00000000,50.0,4.0,0,0.6932455216591288,4.000000000000043
fixed-00000000,50.0,4.0,1,0.0,0.0
fixed-00000000,50.0,4.0,2,0.0,0.0
fixed-00000000,50.0,4.0,3,0.0,0.0
fixed-00000000,50.0,4.0,4,0.0,0.0
fixed-00000000,50.0,4.0,5,0.0,0.0
fixed-00000000,50.0,4.0,6,0.0,0.0
fixed-00000000,50.0,4.0,7,0.0,0.0
fixed-00000000,50.0,4.0,8,0.0,0.0
fixed-00000000,50.0,4.0,9,0.0,0.0
fixed-00000000,50.0,4.0,10,0.0,0.0
fixed-00000000,50.0,4.0,11,0.0,0.0
fixed-00000000,50.0,4.0,12,0.0,0.0
fixed-00000000,50.0,4.0,13,0.0,0.0
fixed-00000000,50.0,4.0,14,0.0,0.0
fixed-00000000,50.0,4.0,15,0.0,0.0
fixed-00000000,50.0,4.0,16,0.0,0.0
fixed-00000000,50.0,4.0,17,0.0,0.0
fixed-00000000,50.0,4.0,18,0.0,0.0
fixed-00000000,50.0,4.0,19,0.0,0.0
fixed-00000000,50.0,4.0,20,0.0,0.0
fixed-00000006,110.0,4.0,-20,0.0012408993982085084,24.851951542714687
fixed-00000006,110.0,4.0,-19,0.0011841119590793926,24.2300299857246
fixed-00000006,110.0,4.0,-18,0.0007920369506398434,23.592732267871042
fixed-00000006,110.0,4.0,-17,0.0011437770064277252,22.938772943565866
fixed-00000006,110.0,4.0,-16,0.001312069148129603,22.266680028298126
fixed-00000006,110.0,4.0,-15,0.0010370155425251683,21.574754793732083
fixed-00000006,110.0,4.0,-14,0.0014254778243266706,20.861019691517996
fixed-00000006,110.0,4.0,-13,0.0015543888724679409,20.12314981933116
fixed-00000006,110.0,4.0,-12,0.0013708707000091628,19.358381089041814
fixed-00000006,110.0,4.0,-11,0.0016335827185196396,18.563384620134798
fixed-00000006,110.0,4.0,-10,0.001873566584689442,17.73409081271616
fixed-00000006,110.0,4.0,-9,0.002135230219984776,16.86543602782575
fixed-00000006,110.0,4.0,-8,0.0018992930913305918,15.950985698613678
fixed-00000006,110.0,4.0,-7,0.003345021681963282,14.982351111948859
fixed-00000006,110.0,4.0,-6,0.003551936035219488,13.948242344473982
fixed-00000006,110.0,4.0,-5,0.0022212020055427735,12.832834315133255
fixed-00000006,110.0,4.0,-4,0.011418692227469013,11.612716944258509
fixed-00000006,110.0,4.0,-3,0.006527513545414833,10.250559696102783
fixed-00000006,110.0,4.0,-2,0.016347852577922775,8.679735599183942
fixed-00000006,110.0,4.0,-1,0.14433801864833032,6.756222279782023
fixed-00000006,110.0,4.0,0,0.6440046107149028,4.000000000000043
fixed-00000006,110.0,4.0,1,0.0,0.0
fixed-00000006,110.0,4.0,2,0.0,0.0
fixed-00000006,110.0,4.0,3,0.0,0.0
fixed-00000006,110.0,4.0,4,0.0,0.0
fixed-00000006,110.0,4.0,5,0.0,0.0
fixed-00000006,110.0,4.0,6,0.0,0.0
fixed-00000006,110.0,4.0,7,0.0,0.0
fixed-00000006,110.0,4.0,8,0.0,0.0
fixed-00000006,110.0,4.0,9,0.0,0.0
fixed-00000006,110.0,4.0,10,0.0,0.0
fixed-00000006,110.0,4.0,11,0.0,0.0
fixed-00000006,110.0,4.0,12,0.0,0.0
fixed-00000006,110.0,4.0,13,0.0,0.0
fixed-00000006,110.0,4.0,14,0.0,0.0
fixed-00000006,110.0,4.0,15,0.0,0.0
fixed-00000006,110.0,4.0,16,0.0,0.0
fixed-00000006,110.0,4.0,17,0.0,0.0
fixed-00000006,110.0,4.0,18,0.0,0.0
fixed-00000006,110.0,4.0,19,0.0,0.0
fixed-00000006,110.0,4.0,20,0.0,0.0
fixed-00000008,130.0,4.0,-20,0.0008325101574082138,22.887737429280307
fixed-00000008,130.0,4.0,-19,0.000790319346513615,22.319060381202533
fixed-00000008,130.0,4.0,-18,0.0005951303980750882,21.73628858867596
fixed-00000008,130.0,4.0,-17,0.0008882122693083391,21.138253797703968
fixed-00000008,130.0,4.0,-16,0.0010185512754844201,20.523619220618087
fixed-00000008,130.0,4.0,-15,0.000926850157304326,19.890843436975487
fixed-00000008,130.0,4.0,-14,0.0013935829715688657,19.238133704924607
fixed-00000008,130.0,4.0,-13,0.0016437327248531868,18.563384620134784
fixed-00000008,130.0,4.0,-12,0.0015314436609878436,17.86409607789507
fixed-00000008,130.0,4.0,-11,0.00214125020423332,17.137261306119782
fixed-00000008,130.0,4.0,-10,0.002387569289879777,16.379210436004684
fixed-00000008,130.0,4.0,-9,0.002611670952473215,15.58538591965737
fixed-00000008,130.0,4.0,-8,0.0028866163190959027,14.750009564284554
fixed-00000008,130.0,4.0,-7,0.003952288835247448,13.865569460383654
fixed-00000008,130.0,4.0,-6,0.004527434110081758,12.921991178661202
fixed-00000008,130.0,4.0,-5,0.0033400353072691818,11.905217349750558
fixed-00000008,130.0,4.0,-4,0.012979886781427778,10.794579595613783
fixed-00000008,130.0,4.0,-3,0.008733587576914264,9.557405601711935
fixed-00000008,130.0,4.0,-2,0.01906994860925866,8.136169892284855
fixed-00000008,130.0,4.0,-1,0.1748216843983715,6.409572995038118
fixed-00000008,130.0,4.0,0,0.5689122461873451,3.999999999999943
fixed-00000008,130.0,4.0,1,0.0,0.0
fixed-00000008,130.0,4.0,2,0.0,0.0
fixed-00000008,130.0,4.0,3,0.0,0.0
fixed-00000008,130.0,4.0,4,0.0,0.0
fixed-00000008,130.0,4.0,5,0.0,0.0
fixed-00000008,130.0,4.0,6,0.0,0.0
fixed-00000008,130.0,4.0,7,0.0,0.0
fixed-00000008,130.0,4.0,8,0.0,0.0
fixed-00000008,130.0,4.0,9,0.0,0.0
fixed-00000008,130.0,4.0,10,0.0,0.0
fixed-00000008,130.0,4.0,11,0.0,0.0
fixed-00000008,130.0,4.0,12,0.0,0.0
fixed-00000008,130.0,4.0,13,0.0,0.0
fixed-00000008,130.0,4.0,14,0.0,0.0
fixed-00000008,130.0,4.0,15,0.0,0.0
fixed-00000008,130.0,4.0,16,0.0,0.0
fixed-00000008,130.0,4.0,17,0.0,0.0
fixed-00000008,130.0,4.0,18,0.0,0.0
fixed-00000008,130.0,4.0,19,0.0,0.0
fixed-00000008,130.0,4.0,20,0.0,0.0
fixed-00000001,60.0,4.0,-20,0.00022098995052816586,33.66867098629079
fixed-00000001,60.0,4.0,-19,0.00015914758155744193,32.804641534161746
fixed-00000001,60.0,4.0,-18,0.0001324963668409494,31.91990527612714
fixed-00000001,60.0,4.0,-17,0.00016791404541496507,31.012670458853336
fixed-00000001,60.0,4.0,-16,0.00016827997322299288,30.0808814961542
fixed-00000001,60.0,4.0,-15,0.00020082679120770518,29.122161170553625
fixed-00000001,60.0,4.0,-14,0.00018683171634186385,28.133735479709266
fixed-00000001,60.0,4.0,-13,0.0002500299466957985,27.112334302138407
fixed-00000001,60.0,4.0,-12,0.00031452700325953163,26.05405763838855
fixed-00000001,60.0,4.0,-11,0.0001926377275521241,24.95419162388059
fixed-00000001,60.0,4.0,-10,0.00045426290004282394,23.80694914738052
fixed-00000001,60.0,4.0,-9,0.0004994806119040595,22.605093498036354
fixed-00000001,60.0,4.0,-8,0.0002468585608420094,21.33937330915093
fixed-00000001,60.0,4.0,-7,0.0010971020408166608,19.997638457525795
fixed-00000001,60.0,4.0,-6,0.000817808323493156,18.563384620134826
fixed-00000001,60.0,4.0,-5,0.0005383859254232926,17.01319792164763
fixed-00000001,60.0,4.0,-4,0.003944136274505896,15.311873059069754
fixed-00000001,60.0,4.0,-3,0.0014430270443512665,13.401935191968363
fixed-00000001,60.0,4.0,-2,0.006353859725477434,11.176900501616302
fixed-00000001,60.0,4.0,-1,0.04749287759959335,8.389645509317262
fixed-00000001,60.0,4.0,0,0.6882702568812624,4.000000000000128
fixed-00000001,60.0,4.0,1,0.0,0.0
