case_id,energy_ev,grazing_angle_deg,order,efficiency,diffraction_angle_deg
fixed-00000000,50.0,4.0,-20,8.405681336392743e-05,36.946600757765104
fixed-00000000,50.0,4.0,-19,7.138239787850674e-05,35.99049916925804
fixed-00000000,50.0,4.0,-18,6.946532670559734e-05,35.01190478081956
fixed-00000000,50.0,4.0,-17,7.693251384736272e-05,34.00884370553947
fixed-00000000,50.0,4.0,-16,9.283261964135406e-05,32.97905073283735
fixed-00000000,50.0,4.0,-15,0.00010780284919944582,31.919905276127125
fixed-00000000,50.0,4.0,-14,9.112617930354472e-05,30.828348020108905
fixed-00000000,50.0,4.0,-13,0.00015129809404838582,29.700770649131364
fixed-00000000,50.0,4.0,-12,0.00017712436233448131,28.532867207683132
fixed-00000000,50.0,4.0,-11,0.00010854907258498691,27.319429403774024
fixed-00000000,50.0,4.0,-10,0.0003048925944545976,26.054057638388535
fixed-00000000,50.0,4.0,-9,0.00029784724891239277,24.728741050446132
fixed-00000000,50.0,4.0,-8,0.00014879663068999036,23.333225797914665
fixed-00000000,50.0,4.0,-7,0.0007760573017795115,21.854024375341254
fixed-00000000,50.0,4.0,-6,0.0005071984809815772,20.272780035826898
fixed-00000000,50.0,4.0,-5,0.0004288070707064913,18.563384620134798
fixed-00000000,50.0,4.0,-4,0.0027505309679540474,16.686445270170665
fixed-00000000,50.0,4.0,-3,0.0008940911975369877,14.577325397340658
fixed-00000000,50.0,4.0,-2,0.0047719640008227985,12.115293466158093
fixed-00000000,50.0,4.0,-1,0.03369049696853008,9.015622340555609
fixed-00000000,50.0,4.0,0,0.692419163804016,4.000000000000043
fixed-00000000,50.0,4.0,1,0.0,0.0
fixed-00000000,50.0,4.0,2,0.0,0.0
fixed-00000000,50.0,4.0,3,0.0,0.0
fixed-00000000,50.0,4.0,4,0.0,0.0
fixed-00000000,50.0,4.0,5,0.0,0.0
fixed-00000000,50.0,4.0,6,0.0,0.0
fixed-00000000,50.0,4.0,7,0.0,0.0
fixed-00000000,50.0,4.0,8,0.0,0.0
fixed-00000000,50.0,4.0,9,0.0,0.0
fixed-00000000,50.0,4.0,10,0.0,0.0
fixed-00000000,50.0,4.0,11,0.0,0.0
fixed-00000000,50.0,4.0,12,0.0,0.0
fixed-00000000,50.0,4.0,13,0.0,0.0
fixed-00000000,50.0,4.0,14,0.0,0.0
fixed-00000000,50.0,4.0,15,0.0,0.0
fixed-00000000,50.0,4.0,16,0.0,0.0
fixed-00000000,50.0,4.0,17,0.0,0.0
fixed-00000000,50.0,4.0,18,0.0,0.0
fixed-00000000,50.0,4.0,19,0.0,0.0
fixed-00000000,50.0,4.0,20,0.0,0.0
fixed-00000006,110.0,4.0,-20,0.0011807853473911663,24.851951542714687
fixed-00000006,110.0,4.0,-19,0.001180409903658874,24.2300299857246
fixed-00000006,110.0,4.0,-18,0.0008280052870346527,23.592732267871042
fixed-00000006,110.0,4.0,-17,0.0011249654289127084,22.938772943565866
fixed-00000006,110.0,4.0,-16,0.0013042303462928641,22.266680028298126
fixed-00000006,110.0,4.0,-15,0.0010082499479832211,21.574754793732083
fixed-00000006,110.0,4.0,-14,0.0013954467187147247,20.861019691517996
fixed-00000006,110.0,4.0,-13,0.0015104430265228553,20.12314981933116
fixed-00000006,110.0,4.0,-12,0.0013613681236581447,19.358381089041814
fixed-00000006,110.0,4.0,-11,0.0016697835991333213,18.563384620134798
fixed-00000006,110.0,4.0,-10,0.0019023754547348808,17.73409081271616
fixed-00000006,110.0,4.0,-9,0.002123907718286102,16.86543602782575
fixed-00000006,110.0,4.0,-8,0.001828452774100563,15.950985698613678
fixed-00000006,110.0,4.0,-7,0.0034522317252221523,14.982351111948859
fixed-00000006,110.0,4.0,-6,0.003635125327407134,13.948242344473982
fixed-00000006,110.0,4.0,-5,0.002277117684624423,12.832834315133255
fixed-00000006,110.0,4.0,-4,0.011334719025161578,11.612716944258509
fixed-00000006,110.0,4.0,-3,0.006537514329289144,10.250559696102783
fixed-00000006,110.0,4.0,-2,0.01636324051345372,8.679735599183942
fixed-00000006,110.0,4.0,-1,0.14369007715875862,6.756222279782023
fixed-00000006,110.0,4.0,0,0.6415889668203172,4.000000000000043
fixed-00000006,110.0,4.0,1,0.0,0.0
fixed-00000006,110.0,4.0,2,0.0,0.0
fixed-00000006,110.0,4.0,3,0.0,0.0
fixed-00000006,110.0,4.0,4,0.0,0.0
fixed-00000006,110.0,4.0,5,0.0,0.0
fixed-00000006,110.0,4.0,6,0.0,0.0
fixed-00000006,110.0,4.0,7,0.0,0.0
fixed-00000006,110.0,4.0,8,0.0,0.0
fixed-00000006,110.0,4.0,9,0.0,0.0
fixed-00000006,110.0,4.0,10,0.0,0.0
fixed-00000006,110.0,4.0,11,0.0,0.0
fixed-00000006,110.0,4.0,12,0.0,0.0
fixed-00000006,110.0,4.0,13,0.0,0.0
fixed-00000006,110.0,4.0,14,0.0,0.0
fixed-00000006,110.0,4.0,15,0.0,0.0
fixed-00000006,110.0,4.0,16,0.0,0.0
fixed-00000006,110.0,4.0,17,0.0,0.0
fixed-00000006,110.0,4.0,18,0.0,0.0
fixed-00000006,110.0,4.0,19,0.0,0.0
fixed-00000006,110.0,4.0,20,0.0,0.0
