case_id,energy_ev,grazing_angle_deg,order,efficiency,diffraction_angle_deg
fixed-00000000,50.0,4.0,-20,8.414388846402636e-05,36.946600757765104
fixed-00000000,50.0,4.0,-19,7.147372251530267e-05,35.99049916925804
fixed-00000000,50.0,4.0,-18,6.953214668448906e-05,35.01190478081956
fixed-00000000,50.0,4.0,-17,7.700670113796237e-05,34.00884370553947
fixed-00000000,50.0,4.0,-16,9.294041055208376e-05,32.97905073283735
fixed-00000000,50.0,4.0,-15,0.00010790462415586118,31.919905276127125
fixed-00000000,50.0,4.0,-14,9.121148980042269e-05,30.828348020108905
fixed-00000000,50.0,4.0,-13,0.0001514575913482661,29.700770649131364
fixed-00000000,50.0,4.0,-12,0.00017729312166760885,28.532867207683132
fixed-00000000,50.0,4.0,-11,0.00010864635677386428,27.319429403774024
fixed-00000000,50.0,4.0,-10,0.00030519217268625817,26.054057638388535
fixed-00000000,50.0,4.0,-9,0.0002981378363565603,24.728741050446132
fixed-00000000,50.0,4.0,-8,0.00014891974142247248,23.333225797914665
fixed-00000000,50.0,4.0,-7,0.0007767976305521114,21.854024375341254
fixed-00000000,50.0,4.0,-6,0.0005077067337692701,20.272780035826898
fixed-00000000,50.0,4.0,-5,0.0004291586257230071,18.563384620134798
fixed-00000000,50.0,4.0,-4,0.0027531413551044187,16.686445270170665
fixed-00000000,50.0,4.0,-3,0.000895005901755395,14.577325397340658
fixed-00000000,50.0,4.0,-2,0.004776260100511604,12.115293466158093
fixed-00000000,50.0,4.0,-1,0.03372230953642154,9.015622340555609
fixed-00000000,50.0,4.0,0,0.6930672801558666,4.000000000000043
fixed-00000000,50.0,4.0,1,0.0,0.0
fixed-00000000,50.0,4.0,2,0.0,0.0
fixed-00000000,50.0,4.0,3,0.0,0.0
fixed-00000000,50.0,4.0,4,0.0,0.0
fixed-00000000,50.0,4.0,5,0.0,0.0
fixed-00000000,50.0,4.0,6,0.0,0.0
fixed-00000000,50.0,4.0,7,0.0,0.0
fixed-00000000,50.0,4.0,8,0.0,0.0
fixed-00000000,50.0,4.0,9,0.0,0.0
fixed-00000000,50.0,4.0,10,0.0,0.0
fixed-00000000,50.0,4.0,11,0.0,0.0
fixed-00000000,50.0,4.0,12,0.0,0.0
fixed-00000000,50.0,4.0,13,0.0,0.0
fixed-00000000,50.0,4.0,14,0.0,0.0
fixed-00000000,50.0,4.0,15,0.0,0.0
fixed-00000000,50.0,4.0,16,0.0,0.0
fixed-00000000,50.0,4.0,17,0.0,0.0
fixed-00000000,50.0,4.0,18,0.0,0.0
fixed-00000000,50.0,4.0,19,0.0,0.0
fixed-00000000,50.0,4.0,20,0.0,0.0
fixed-00000008,130.0,4.0,-20,0.0008042535917824242,22.887737429280307
fixed-00000008,130.0,4.0,-19,0.0008100577336809106,22.319060381202533
fixed-00000008,130.0,4.0,-18,0.0006391592194794109,21.73628858867596
fixed-00000008,130.0,4.0,-17,0.0008964209992217635,21.138253797703968
fixed-00000008,130.0,4.0,-16,0.0010477781259622663,20.523619220618087
fixed-00000008,130.0,4.0,-15,0.0009358472442818527,19.890843436975487
fixed-00000008,130.0,4.0,-14,0.0013991357709800675,19.238133704924607
fixed-00000008,130.0,4.0,-13,0.0016516355687817062,18.563384620134784
fixed-00000008,130.0,4.0,-12,0.00156549089415212,17.86409607789507
fixed-00000008,130.0,4.0,-11,0.0022049091510657165,17.137261306119782
fixed-00000008,130.0,4.0,-10,0.0024504162452972707,16.379210436004684
fixed-00000008,130.0,4.0,-9,0.0026178930718200938,15.58538591965737
fixed-00000008,130.0,4.0,-8,0.002815445776682184,14.750009564284554
fixed-00000008,130.0,4.0,-7,0.004110015167041991,13.865569460383654
fixed-00000008,130.0,4.0,-6,0.004659378373648704,12.921991178661202
fixed-00000008,130.0,4.0,-5,0.0033834947036184486,11.905217349750558
fixed-00000008,130.0,4.0,-4,0.012951068862143547,10.794579595613783
fixed-00000008,130.0,4.0,-3,0.008773311972026509,9.557405601711935
fixed-00000008,130.0,4.0,-2,0.019158423695566733,8.136169892284855
fixed-00000008,130.0,4.0,-1,0.17485088949400315,6.409572995038118
fixed-00000008,130.0,4.0,0,0.5691878522028727,3.999999999999943
fixed-00000008,130.0,4.0,1,0.0,0.0
fixed-00000008,130.0,4.0,2,0.0,0.0
fixed-00000008,130.0,4.0,3,0.0,0.0
fixed-00000008,130.0,4.0,4,0.0,0.0
fixed-00000008,130.0,4.0,5,0.0,0.0
fixed-00000008,130.0,4.0,6,0.0,0.0
fixed-00000008,130.0,4.0,7,0.0,0.0
fixed-00000008,130.0,4.0,8,0.0,0.0
fixed-00000008,130.0,4.0,9,0.0,0.0
fixed-00000008,130.0,4.0,10,0.0,0.0
fixed-00000008,130.0,4.0,11,0.0,0.0
fixed-00000008,130.0,4.0,12,0.0,0.0
fixed-00000008,130.0,4.0,13,0.0,0.0
fixed-00000008,130.0,4.0,14,0.0,0.0
fixed-00000008,130.0,4.0,15,0.0,0.0
fixed-00000008,130.0,4.0,16,0.0,0.0
fixed-00000008,130.0,4.0,17,0.0,0.0
fixed-00000008,130.0,4.0,18,0.0,0.0
fixed-00000008,130.0,4.0,19,0.0,0.0
fixed-00000008,130.0,4.0,20,0.0,0.0
fixed-00000001,60.0,4.0,-20,0.00021144423210281668,33.66867098629079
fixed-00000001,60.0,4.0,-19,0.0001479570071128599,32.804641534161746
fixed-00000001,60.0,4.0,-18,0.00013725904899551108,31.91990527612714
fixed-00000001,60.0,4.0,-17,0.00016746437640149041,31.012670458853336
