case_id,energy_ev,grazing_angle_deg,order,efficiency,diffraction_angle_deg
fixed-00000000,50.0,1.0,-20,2.298854365163256e-05,36.72836394252599
fixed-00000000,50.0,1.0,-19,1.965958375916983e-05,35.76724513732081
fixed-00000000,50.0,1.0,-18,1.923148377042012e-05,34.783202072369875
fixed-00000000,50.0,1.0,-17,2.0932381892388856e-05,33.77419865672606
fixed-00000000,50.0,1.0,-16,2.5454625373712834e-05,32.73789413681997
fixed-00000000,50.0,1.0,-15,3.015342663601203e-05,31.671575132118377
fixed-00000000,50.0,1.0,-14,2.4482853276313356e-05,30.572066870934492
fixed-00000000,50.0,1.0,-13,4.156283850093886e-05,29.435615277774055
fixed-00000000,50.0,1.0,-12,5.014476166758497e-05,28.25772728984554
fixed-00000000,50.0,1.0,-11,2.8284402193800876e-05,27.03294976457456
fixed-00000000,50.0,1.0,-10,8.470652573038452e-05,25.75455539976224
fixed-00000000,50.0,1.0,-9,8.546090896544149e-05,24.41408289662344
fixed-00000000,50.0,1.0,-8,3.6949443433211464e-05,23.00063908061179
fixed-00000000,50.0,1.0,-7,0.00021913079349005537,21.49979251955007
fixed-00000000,50.0,1.0,-6,0.0001477467617611123,19.891721918786743
fixed-00000000,50.0,1.0,-5,0.00010896176251708001,18.147895381206368
fixed-00000000,50.0,1.0,-4,0.0007854711746213034,16.224541946816103
fixed-00000000,50.0,1.0,-3,0.0002652894613544495,14.048051607021762
fixed-00000000,50.0,1.0,-2,0.0012882951480416114,11.47520357492894
fixed-00000000,50.0,1.0,-1,0.009168652935932253,8.138281537089384
fixed-00000000,50.0,1.0,0,0.9142500031702393,0.9999999999999005
fixed-00000000,50.0,1.0,1,0.0,0.0
fixed-00000000,50.0,1.0,2,0.0,0.0
fixed-00000000,50.0,1.0,3,0.0,0.0
fixed-00000000,50.0,1.0,4,0.0,0.0
fixed-00000000,50.0,1.0,5,0.0,0.0
fixed-00000000,50.0,1.0,6,0.0,0.0
fixed-00000000,50.0,1.0,7,0.0,0.0
fixed-00000000,50.0,1.0,8,0.0,0.0
fixed-00000000,50.0,1.0,9,0.0,0.0
fixed-00000000,50.0,1.0,10,0.0,0.0
fixed-00000000,50.0,1.0,11,0.0,0.0
fixed-00000000,50.0,1.0,12,0.0,0.0
fixed-00000000,50.0,1.0,13,0.0,0.0
fixed-00000000,50.0,1.0,14,0.0,0.0
fixed-00000000,50.0,1.0,15,0.0,0.0
fixed-00000000,50.0,1.0,16,0.0,0.0
fixed-00000000,50.0,1.0,17,0.0,0.0
fixed-00000000,50.0,1.0,18,0.0,0.0
fixed-00000000,50.0,1.0,19,0.0,0.0
fixed-00000000,50.0,1.0,20,0.0,0.0
fixed-00000002,150.0,1.0,-20,0.00013224498961203864,20.976868904814538
fixed-00000002,150.0,1.0,-19,0.0001442184590120509,20.441189450923062
fixed-00000002,150.0,1.0,-18,0.00011367315209411808,19.891721918786743
fixed-00000002,150.0,1.0,-17,0.00015385654453113794,19.32728860142933
fixed-00000002,150.0,1.0,-16,0.00019520756598664105,18.74653592772742
fixed-00000002,150.0,1.0,-15,0.000157167383809335,18.147895381206368
fixed-00000002,150.0,1.0,-14,0.0002344366660143859,17.529532494186512
fixed-00000002,150.0,1.0,-13,0.0002996070142038652,16.889279144628944
fixed-00000002,150.0,1.0,-12,0.00026613810346576657,16.224541946816103
fixed-00000002,150.0,1.0,-11,0.000408760692511663,15.532175532332047
fixed-00000002,150.0,1.0,-10,0.0005299770604590924,14.808302728188039
fixed-00000002,150.0,1.0,-9,0.0005461300444772402,14.048051607021762
fixed-00000002,150.0,1.0,-8,0.0006816929183660776,13.245156988362638
fixed-00000002,150.0,1.0,-7,0.00100087904414507,12.3913297567059
fixed-00000002,150.0,1.0,-6,0.0012508071916355677,11.47520357492894
fixed-00000002,150.0,1.0,-5,0.0008016771181729217,10.480450869119537
fixed-00000002,150.0,1.0,-4,0.0034759953815971605,9.382091896469547
fixed-00000002,150.0,1.0,-3,0.003080356737866046,8.138281537089384
fixed-00000002,150.0,1.0,-2,0.00405702759912524,6.668112195698512
fixed-00000002,150.0,1.0,-1,0.05321190408582951,4.766536061449884
fixed-00000002,150.0,1.0,0,0.8483743449715135,0.9999999999999005
fixed-00000002,150.0,1.0,1,0.0,0.0
fixed-00000002,150.0,1.0,2,0.0,0.0
fixed-00000002,150.0,1.0,3,0.0,0.0
fixed-00000002,150.0,1.0,4,0.0,0.0
fixed-00000002,150.0,1.0,5,0.0,0.0
fixed-00000002,150.0,1.0,6,0.0,0.0
fixed-00000002,150.0,1.0,7,0.0,0.0
fixed-00000002,150.0,1.0,8,0.0,0.0
fixed-00000002,150.0,1.0,9,0.0,0.0
fixed-00000002,150.0,1.0,10,0.0,0.0
fixed-00000002,150.0,1.0,11,0.0,0.0
fixed-00000002,150.0,1.0,12,0.0,0.0
fixed-00000002,150.0,1.0,13,0.0,0.0
fixed-00000002,150.0,1.0,14,0.0,0.0
fixed-00000002,150.0,1.0,15,0.0,0.0
fixed-00000002,150.0,1.0,16,0.0,0.0
fixed-00000002,150.0,1.0,17,0.0,0.0
fixed-00000002,150.0,1.0,18,0.0,0.0
fixed-00000002,150.0,1.0,19,0.0,0.0
fixed-00000002,150.0,1.0,20,0.0,0.0
fixed-00000001,100.0,1.0,-20,0.0002874987557799898,25.75455539976224
fixed-00000001,100.0,1.0,-19,0.0002599099025112107,25.092692345474617
fixed-00000001,100.0,1.0,-18,0.00015905836131758656,24.41408289662344
fixed-00000001,100.0,1.0,-17,0.00023081449339569518,23.71728455090644
fixed-00000001,100.0,1.0,-16,0.00025309741772398293,23.00063908061179
fixed-00000001,100.0,1.0,-15,0.00018949109913889576,22.262224525633528
fixed-00000001,100.0,1.0,-14,0.00026936497320594657,21.49979251955007
fixed-00000001,100.0,1.0,-13,0.0002764630260798855,20.710685071056957
fixed-00000001,100.0,1.0,-12,0.00027451043245766104,19.891721918786743
fixed-00000001,100.0,1.0,-11,0.0003047170968114493,19.039044648764516
fixed-00000001,100.0,1.0,-10,0.00036005235418268977,18.147895381206368
fixed-00000001,100.0,1.0,-9,0.00046242216312144727,17.212292967831786
fixed-00000001,100.0,1.0,-8,0.00030012838736162854,16.224541946816103
fixed-00000001,100.0,1.0,-7,0.00073686480532517,15.174454773733487
fixed-00000001,100.0,1.0,-6,0.0008368020304448411,14.048051607021762
fixed-00000001,100.0,1.0,-5,0.00032792611607748343,12.825231674657005
fixed-00000001,100.0,1.0,-4,0.002672234412869585,11.47520357492894
fixed-00000001,100.0,1.0,-3,0.001581958047302684,9.946291914593857
fixed-00000001,100.0,1.0,-2,0.003285787163337869,8.138281537089384
fixed-00000001,100.0,1.0,-1,0.031734981769876304,5.795583718663309
fixed-00000001,100.0,1.0,0,0.9114911820573179,0.9999999999999005
fixed-00000001,100.0,1.0,1,0.0,0.0
fixed-00000001,100.0,1.0,2,0.0,0.0
fixed-00000001,100.0,1.0,3,0.0,0.0
fixed-00000001,100.0,1.0,4,0.0,0.0
fixed-00000001,100.0,1.0,5,0.0,0.0
fixed-00000001,100.0,1.0,6,0.0,0.0
fixed-00000001,100.0,1.0,7,0.0,0.0
fixed-00000001,100.0,1.0,8,0.0,0.0
fixed-00000001,100.0,1.0,9,0.0,0.0
fixed-00000001,100.0,1.0,10,0.0,0.0
fixed-00000001,100.0,1.0,11,0.0,0.0
fixed-00000001,100.0,1.0,12,0.0,0.0
fixed-00000001,100.0,1.0,13,0.0,0.0
fixed-00000001,100.0,1.0,14,0.0,0.0
fixed-00000001,100.0,1.0,15,0.0,0.0
fixed-00000001,100.0,1.0,16,0.0,0.0
fixed-00000001,100.0,1.0,17,0.0,0.0
fixed-00000001,100.0,1.0,18,0.0,0.0
fixed-00000001,100.0,1.0,19,0.0,0.0
