case_id,energy_ev,grazing_angle_deg,order,efficiency,diffraction_angle_deg
fixed-00000000,50.0,1.0,-20,2.701437661169083e-05,36.72836394252599
fixed-00000000,50.0,1.0,-19,2.1518760353834145e-05,35.76724513732081
fixed-00000000,50.0,1.0,-18,2.1769880805799287e-05,34.783202072369875
fixed-00000000,50.0,1.0,-17,2.732739863147483e-05,33.77419865672606
fixed-00000000,50.0,1.0,-16,2.7107021397317894e-05,32.73789413681997
fixed-00000000,50.0,1.0,-15,1.7247587939093406e-05,31.671575132118377
fixed-00000000,50.0,1.0,-14,1.853630875298121e-05,30.572066870934492
fixed-00000000,50.0,1.0,-13,3.186545625782519e-05,29.435615277774055
fixed-00000000,50.0,1.0,-12,4.756158990405013e-05,28.25772728984554
fixed-00000000,50.0,1.0,-11,2.260826549543079e-05,27.03294976457456
fixed-00000000,50.0,1.0,-10,0.00010573716597247733,25.75455539976224
fixed-00000000,50.0,1.0,-9,8.275948694620596e-05,24.41408289662344
fixed-00000000,50.0,1.0,-8,3.778322185123206e-05,23.00063908061179
fixed-00000000,50.0,1.0,-7,0.00021635544703040816,21.49979251955007
fixed-00000000,50.0,1.0,-6,0.00013631331375376737,19.891721918786743
fixed-00000000,50.0,1.0,-5,0.00010901440756874391,18.147895381206368
fixed-00000000,50.0,1.0,-4,0.0007370163616535634,16.224541946816103
fixed-00000000,50.0,1.0,-3,0.00024201348569825425,14.048051607021762
fixed-00000000,50.0,1.0,-2,0.0013659171104314968,11.47520357492894
fixed-00000000,50.0,1.0,-1,0.009058865440847877,8.138281537089384
fixed-00000000,50.0,1.0,0,0.9146141997569794,0.9999999999999005
fixed-00000000,50.0,1.0,1,0.0,0.0
fixed-00000000,50.0,1.0,2,0.0,0.0
fixed-00000000,50.0,1.0,3,0.0,0.0
fixed-00000000,50.0,1.0,4,0.0,0.0
fixed-00000000,50.0,1.0,5,0.0,0.0
fixed-00000000,50.0,1.0,6,0.0,0.0
fixed-00000000,50.0,1.0,7,0.0,0.0
fixed-00000000,50.0,1.0,8,0.0,0.0
fixed-00000000,50.0,1.0,9,0.0,0.0
fixed-00000000,50.0,1.0,10,0.0,0.0
fixed-00000000,50.0,1.0,11,0.0,0.0
fixed-00000000,50.0,1.0,12,0.0,0.0
fixed-00000000,50.0,1.0,13,0.0,0.0
