case_id,energy_ev,grazing_angle_deg,order,efficiency,diffraction_angle_deg
fixed-00000000,50.0,1.0,-10,0.00011136829574085792,25.75455539976224
fixed-00000000,50.0,1.0,-9.666666666666666,1.1548485692053952e-06,25.31510829004378
fixed-00000000,50.0,1.0,-9.333333333333334,1.3712460801791148e-06,24.868417150378832
fixed-00000000,50.0,1.0,-9,9.133100294990068e-05,24.41408289662344
fixed-00000000,50.0,1.0,-8.666666666666666,1.5757338124031759e-06,23.95166910189785
fixed-00000000,50.0,1.0,-8.333333333333334,1.9344001470195816e-06,23.480696919147036
fixed-00000000,50.0,1.0,-8,4.8478903521669875e-05,23.00063908061179
fixed-00000000,50.0,1.0,-7.666666666666667,2.0728854329041587e-06,22.510912760477325
fixed-00000000,50.0,1.0,-7.333333333333333,1.9489977077764655e-06,22.01087102590685
fixed-00000000,50.0,1.0,-7,0.00022095650897649215,21.49979251955007
fixed-00000000,50.0,1.0,-6.666666666666667,2.8061524263388745e-06,20.976868904814538
fixed-00000000,50.0,1.0,-6.333333333333333,2.539444200167902e-06,20.441189450923048
fixed-00000000,50.0,1.0,-6,0.0001497810421057474,19.891721918786743
fixed-00000000,50.0,1.0,-5.666666666666667,1.4234292694521606e-06,19.32728860142933
fixed-00000000,50.0,1.0,-5.333333333333333,2.163416469070816e-06,18.746535927727408
fixed-00000000,50.0,1.0,-5,0.00011383343818317847,18.147895381206368
fixed-00000000,50.0,1.0,-4.666666666666667,2.8651235524867604e-06,17.529532494186512
fixed-00000000,50.0,1.0,-4.333333333333333,1.6570562868083411e-06,16.88927914462893
fixed-00000000,50.0,1.0,-4,0.0007873948198112612,16.224541946816103
fixed-00000000,50.0,1.0,-3.6666666666666665,1.5065598001434514e-06,15.532175532332019
fixed-00000000,50.0,1.0,-3.3333333333333335,8.915482766638045e-07,14.808302728188025
fixed-00000000,50.0,1.0,-3,0.00027369482527769113,14.048051607021762
fixed-00000000,50.0,1.0,-2.6666666666666665,4.128146302660248e-06,13.24515698836261
fixed-00000000,50.0,1.0,-2.3333333333333335,2.7785779262995555e-06,12.391329756705872
fixed-00000000,50.0,1.0,-2,0.0013055875323541822,11.47520357492894
fixed-00000000,50.0,1.0,-1.6666666666666667,1.158108014822446e-06,10.480450869119494
fixed-00000000,50.0,1.0,-1.3333333333333333,2.6891316537628046e-06,9.382091896469447
fixed-00000000,50.0,1.0,-1,0.009213022342051068,8.138281537089384
fixed-00000000,50.0,1.0,-0.6666666666666666,9.523457133007622e-07,6.668112195698512
fixed-00000000,50.0,1.0,-0.3333333333333333,1.7156598869070365e-06,4.766536061449727
fixed-00000000,50.0,1.0,0,0.9144572803092793,0.9999999999999005
fixed-00000000,50.0,1.0,0.3333333333333333,0.0,0.0
fixed-00000000,50.0,1.0,0.6666666666666666,0.0,0.0
fixed-00000000,50.0,1.0,1,0.0,0.0
fixed-00000000,50.0,1.0,1.3333333333333333,0.0,0.0
fixed-00000000,50.0,1.0,1.6666666666666667,0.0,0.0
fixed-00000000,50.0,1.0,2,0.0,0.0
fixed-00000000,50.0,1.0,2.3333333333333335,0.0,0.0
fixed-00000000,50.0,1.0,2.6666666666666665,0.0,0.0
fixed-00000000,50.0,1.0,3,0.0,0.0
fixed-00000000,50.0,1.0,3.3333333333333335,0.0,0.0
fixed-00000000,50.0,1.0,3.6666666666666665,0.0,0.0
fixed-00000000,50.0,1.0,4,0.0,0.0
fixed-00000000,50.0,1.0,4.333333333333333,0.0,0.0
fixed-00000000,50.0,1.0,4.666666666666667,0.0,0.0
fixed-00000000,50.0,1.0,5,0.0,0.0
fixed-00000000,50.0,1.0,5.333333333333333,0.0,0.0
fixed-00000000,50.0,1.0,5.666666666666667,0.0,0.0
fixed-00000000,50.0,1.0,6,0.0,0.0
fixed-00000000,50.0,1.0,6.333333333333333,0.0,0.0
fixed-00000000,50.0,1.0,6.666666666666667,0.0,0.0
fixed-00000000,50.0,1.0,7,0.0,0.0
fixed-00000000,50.0,1.0,7.333333333333333,0.0,0.0
fixed-00000000,50.0,1.0,7.666666666666667,0.0,0.0
fixed-00000000,50.0,1.0,8,0.0,0.0
fixed-00000000,50.0,1.0,8.333333333333334,0.0,0.0
fixed-00000000,50.0,1.0,8.666666666666666,0.0,0.0
fixed-00000000,50.0,1.0,9,0.0,0.0
fixed-00000000,50.0,1.0,9.333333333333334,0.0,0.0
fixed-00000000,50.0,1.0,9.666666666666666,0.0,0.0
fixed-00000000,50.0,1.0,10,0.0,0.0
fixed-00000001,100.0,1.0,-10,0.0012356111986974267,18.147895381206368
