case_id,energy_ev,grazing_angle_deg,order,efficiency,diffraction_angle_deg
fixed-00000000,50.0,4.0,-15,0.00018208286304746365,31.919905276127125
fixed-00000000,50.0,4.0,-14,0.00011546266437852989,30.828348020108905
fixed-00000000,50.0,4.0,-13,0.0001703374224816017,29.700770649131364
fixed-00000000,50.0,4.0,-12,0.00020377666827837006,28.532867207683132
fixed-00000000,50.0,4.0,-11,0.00012013742038688152,27.319429403774024
fixed-00000000,50.0,4.0,-10,0.0003235373175378607,26.054057638388535
fixed-00000000,50.0,4.0,-9,0.00031746405613297744,24.728741050446132
fixed-00000000,50.0,4.0,-8,0.00015804026653251863,23.333225797914665
fixed-00000000,50.0,4.0,-7,0.0008020381624701774,21.854024375341254
fixed-00000000,50.0,4.0,-6,0.0005238287395593708,20.272780035826898
fixed-00000000,50.0,4.0,-5,0.00044303364703363393,18.563384620134798
fixed-00000000,50.0,4.0,-4,0.002805922862115996,16.686445270170665
fixed-00000000,50.0,4.0,-3,0.0009108347677048166,14.577325397340658
fixed-00000000,50.0,4.0,-2,0.004853537334207077,12.115293466158093
fixed-00000000,50.0,4.0,-1,0.03420317522263793,9.015622340555609
fixed-00000000,50.0,4.0,0,0.6925574970974158,4.000000000000043
fixed-00000000,50.0,4.0,1,0.0,0.0
fixed-00000000,50.0,4.0,2,0.0,0.0
fixed-00000000,50.0,4.0,3,0.0,0.0
fixed-00000000,50.0,4.0,4,0.0,0.0
fixed-00000000,50.0,4.0,5,0.0,0.0
fixed-00000000,50.0,4.0,6,0.0,0.0
fixed-00000000,50.0,4.0,7,0.0,0.0
fixed-00000000,50.0,4.0,8,0.0,0.0
fixed-00000000,50.0,4.0,9,0.0,0.0
fixed-00000000,50.0,4.0,10,0.0,0.0
fixed-00000000,50.0,4.0,11,0.0,0.0
fixed-00000000,50.0,4.0,12,0.0,0.0
fixed-00000000,50.0,4.0,13,0.0,0.0
fixed-00000000,50.0,4.0,14,0.0,0.0
fixed-00000000,50.0,4.0,15,0.0,0.0
fixed-00000003,80.0,4.0,-15,0.001096067304908233,25.23335224938701
fixed-00000003,80.0,4.0,-14,0.0006079660134349089,24.38690529633689
fixed-00000003,80.0,4.0,-13,0.0006706600546915293,23.51192678300849
fixed-00000003,80.0,4.0,-12,0.0008372760011789535,22.605093498036354
fixed-00000003,80.0,4.0,-11,0.0005723700743992152,21.662394599301848
fixed-00000003,80.0,4.0,-10,0.0009680414357467657,20.678914499078303
fixed-00000003,80.0,4.0,-9,0.0011680336115719942,19.6485188177962
fixed-00000003,80.0,4.0,-8,0.000592333790167746,18.563384620134826
fixed-00000003,80.0,4.0,-7,0.002075416213800874,17.413268710318007
fixed-00000003,80.0,4.0,-6,0.0018412422427248759,16.18430978152439
fixed-00000003,80.0,4.0,-5,0.0010109142446837623,14.856940312447804
fixed-00000003,80.0,4.0,-4,0.006931237069913141,13.401935191968363
fixed-00000003,80.0,4.0,-3,0.0031219503977675273,11.772044157333355
fixed-00000003,80.0,4.0,-2,0.010221650523382544,9.881078656044693
fixed-00000003,80.0,4.0,-1,0.08275970347031464,7.534952908764481
fixed-00000003,80.0,4.0,0,0.6762693662035446,4.000000000000128
fixed-00000003,80.0,4.0,1,0.0,0.0
fixed-00000003,80.0,4.0,2,0.0,0.0
fixed-00000003,80.0,4.0,3,0.0,0.0
fixed-00000003,80.0,4.0,4,0.0,0.0
fixed-00000003,80.0,4.0,5,0.0,0.0
fixed-00000003,80.0,4.0,6,0.0,0.0
fixed-00000003,80.0,4.0,7,0.0,0.0
fixed-00000003,80.0,4.0,8,0.0,0.0
fixed-00000003,80.0,4.0,9,0.0,0.0
fixed-00000003,80.0,4.0,10,0.0,0.0
fixed-00000003,80.0,4.0,11,0.0,0.0
fixed-00000003,80.0,4.0,12,0.0,0.0
fixed-00000003,80.0,4.0,13,0.0,0.0
fixed-00000003,80.0,4.0,14,0.0,0.0
fixed-00000003,80.0,4.0,15,0.0,0.0
fixed-00000007,120.0,4.0,-15,0.002181045626966812,20.67891449907833
fixed-00000007,120.0,4.0,-14,0.0023862358468177977,19.997638457525795
fixed-00000007,120.0,4.0,-13,0.0019069495166503785,19.293336575596342
fixed-00000007,120.0,4.0,-12,0.001971957115820567,18.563384620134826
fixed-00000007,120.0,4.0,-11,0.0025571911424709243,17.80462435107323
fixed-00000007,120.0,4.0,-10,0.002267001677824579,17.01319792164763
fixed-00000007,120.0,4.0,-9,0.0028160170807572794,16.18430978152439
fixed-00000007,120.0,4.0,-8,0.0027132487933820494,15.311873059069754
fixed-00000007,120.0,4.0,-7,0.003765480030338572,14.387963517781984
fixed-00000007,120.0,4.0,-6,0.004690565221652659,13.401935191968363
fixed-00000007,120.0,4.0,-5,0.0029637542509987694,12.338899720932332
fixed-00000007,120.0,4.0,-4,0.01234274383652261,11.176900501616302
fixed-00000007,120.0,4.0,-3,0.008369445467854843,9.881078656044693
fixed-00000007,120.0,4.0,-2,0.017771660609438706,8.389645509317262
fixed-00000007,120.0,4.0,-1,0.16390173257730298,6.570714442852491
fixed-00000007,120.0,4.0,0,0.6129903642023597,4.000000000000128
fixed-00000007,120.0,4.0,1,0.0,0.0
fixed-00000007,120.0,4.0,2,0.0,0.0
fixed-00000007,120.0,4.0,3,0.0,0.0
fixed-00000007,120.0,4.0,4,0.0,0.0
fixed-00000007,120.0,4.0,5,0.0,0.0
fixed-00000007,120.0,4.0,6,0.0,0.0
fixed-00000007,120.0,4.0,7,0.0,0.0
fixed-00000007,120.0,4.0,8,0.0,0.0
fixed-00000007,120.0,4.0,9,0.0,0.0
fixed-00000007,120.0,4.0,10,0.0,0.0
fixed-00000007,120.0,4.0,11,0.0,0.0
fixed-00000007,120.0,4.0,12,0.0,0.0
