energy_ev,selected_grazing_angle_deg,order,efficiency,diffraction_angle_deg,retry_triggered,retry_attempts,retry_status,selected_efficiency_is_exact_zero,selected_efficiency_below_retry_threshold,theta_tracking_center_mode,theta_tracking_auto_classification,theta_tracking_previous_energy_ev,theta_tracking_previous_grazing_angle_deg,theta_tracking_used_previous_theta,theta_tracking_bragg_fallback_triggered,theta_tracking_continuity_rejected,precise_peak_selection_mode_requested,precise_peak_selection_mode_used,precise_peak_fit_fallback_used,precise_peak_fitted_center_deg,precise_peak_fitted_fwhm_deg
500.0,14.183552179744003,-25,7.790099702294557e-10,34.841087739931496,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
500.0,14.183552179744003,-24,1.842279189399971e-10,34.23971431731937,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
500.0,14.183552179744003,-23,5.936310083768046e-10,33.628920068864126,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
500.0,14.183552179744003,-22,1.1062589137978928e-09,33.00817499445233,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
500.0,14.183552179744003,-21,5.29157958288853e-10,32.37689964999656,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
500.0,14.183552179744003,-20,8.047841066770141e-10,31.734458436621118,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
500.0,14.183552179744003,-19,1.7063160854726615e-09,31.08015167290069,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
500.0,14.183552179744003,-18,1.639140279779503e-09,30.41320616917865,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
500.0,14.183552179744003,-17,1.3599227455428697e-09,29.732763942971992,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
500.0,14.183552179744003,-16,2.571701195342923e-09,29.03786860694337,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
500.0,14.183552179744003,-15,5.057834640580288e-09,28.327448814662638,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
500.0,14.183552179744003,-14,3.287498853161523e-09,27.60029794777202,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
500.0,14.183552179744003,-13,4.749501264354564e-09,26.855048946210786,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
500.0,14.183552179744003,-12,1.9248084081767348e-08,26.0901427824954,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
500.0,14.183552179744003,-11,1.2168984243656003e-08,25.303788501681936,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
500.0,14.183552179744003,-10,1.2612373245654835e-08,24.4939118944542,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
500.0,14.183552179744003,-9,1.0644074166891521e-07,23.65808858401664,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
500.0,14.183552179744003,-8,5.9532137670204073e-08,22.79345532171135,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
500.0,14.183552179744003,-7,8.914987702143289e-08,21.89659013729097,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
500.0,14.183552179744003,-6,9.72101021861874e-07,20.963346839213827,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
500.0,14.183552179744003,-5,6.312346618263423e-07,19.988620631278437,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
500.0,14.183552179744003,-4,4.235213476149315e-06,18.966006195270154,0,0,not_needed,0,0,bragg,initial,,,0,0,0,voigt,voigt,0,14.183552179744003,0.29775750667465856
