case_id,energy_ev,grazing_angle_deg,order,efficiency,diffraction_angle_deg
fixed-00000000,100.0,4.0,-12,0.0038481899882431155,20.272780035826898
fixed-00000000,100.0,4.0,-11,0.0018395043406777827,19.43615815678045
fixed-00000000,100.0,4.0,-10,0.0017994209003382663,18.563384620134798
fixed-00000000,100.0,4.0,-9,0.0026890451856299,17.649090489235533
fixed-00000000,100.0,4.0,-8,0.001421956500544167,16.686445270170665
fixed-00000000,100.0,4.0,-7,0.0032575534990559587,15.666531340439832
fixed-00000000,100.0,4.0,-6,0.0037488001268899842,14.577325397340658
fixed-00000000,100.0,4.0,-5,0.0016417345683792074,13.401935191968334
fixed-00000000,100.0,4.0,-4,0.01052164859598438,12.115293466158093
fixed-00000000,100.0,4.0,-3,0.006054039443284303,10.677246924869166
fixed-00000000,100.0,4.0,-2,0.014091540880912903,9.015622340555609
fixed-00000000,100.0,4.0,-1,0.12648359216171978,6.972349028947534
fixed-00000000,100.0,4.0,0,0.6604365376887186,4.000000000000043
fixed-00000000,100.0,4.0,1,0.0,0.0
fixed-00000000,100.0,4.0,2,0.0,0.0
fixed-00000000,100.0,4.0,3,0.0,0.0
fixed-00000000,100.0,4.0,4,0.0,0.0
fixed-00000000,100.0,4.0,5,0.0,0.0
fixed-00000000,100.0,4.0,6,0.0,0.0
fixed-00000000,100.0,4.0,7,0.0,0.0
fixed-00000000,100.0,4.0,8,0.0,0.0
fixed-00000000,100.0,4.0,9,0.0,0.0
fixed-00000000,100.0,4.0,10,0.0,0.0
fixed-00000000,100.0,4.0,11,0.0,0.0
fixed-00000000,100.0,4.0,12,0.0,0.0
fixed-00000001,150.0,4.0,-12,0.0016729574213275944,16.686445270170665
fixed-00000001,150.0,4.0,-11,0.002081774836984589,16.013529106660258
fixed-00000001,150.0,4.0,-10,0.0020633259568340083,15.311873059069754
fixed-00000001,150.0,4.0,-9,0.002342952813552507,14.577325397340658
fixed-00000001,150.0,4.0,-8,0.0032038468962317917,13.804634215692602
