case_id,energy_ev,grazing_angle_deg,order,efficiency,diffraction_angle_deg
single,200.0,4.0,-5,0.0076665202874614535,9.88107865604465
single,200.0,4.0,-4,0.00818714614951143,9.015622340555609
single,200.0,4.0,-3,0.0073407172369143354,8.058583440755712
single,200.0,4.0,-2,0.02042349795001465,6.972349028947534
single,200.0,4.0,-1,0.1433640501654391,5.683315135192018
single,200.0,4.0,0,0.22932799290493322,4.000000000000043
single,200.0,4.0,1,0.0,0.0
single,200.0,4.0,2,0.0,0.0
single,200.0,4.0,3,0.0,0.0
single,200.0,4.0,4,0.0,0.0
single,200.0,4.0,5,0.0,0.0
