RCWA Multilayer Multi-Energy Fourier Backend Comparison (numpy vs numba)

num_energies=10
energies_ev=500,1000,1500,2000,2500,3000,3500,4000,4500,5000
fourier_orders=20
x_resolution_nm=0.1
z_resolution_nm=0.1
angle_strategy=nearest_reference_alpha_from_DiffractMod_CrC_d4.8_N60.dat
efficiency_order=-1

aggregates
- mean_numpy_total_s: 5.813039
- mean_numba_total_s: 2.398091
- mean_speedup_numpy_over_numba: 2.425818

per_energy
energy_ev  grazing_angle  numpy_total_s  numba_total_s  numpy_fourier_s  numba_fourier_s  speedup  eff_delta_order_m1
   500.0          14.176360          6.193241       2.667459            3.699425         0.259277   2.3218  +1.223e-16
  1000.0           6.485070          6.040972       2.473373            3.590246         0.034589   2.4424  -9.879e-16
  1500.0           3.913100          5.884516       2.376702            3.554584         0.035701   2.4759  +8.932e-16
  2000.0           2.629540          5.712319       2.409635            3.393355         0.033328   2.3706  +5.464e-16
  2500.0           1.867790          5.686109       2.331459            3.421783         0.032179   2.4389  +1.979e-15
  3000.0           1.366270          5.709629       2.401517            3.412498         0.033093   2.3775  +2.745e-15
  3500.0           1.018620          5.715024       2.300728            3.398351         0.032161   2.4840  +3.494e-15
  4000.0           0.769360          5.704896       2.381458            3.413658         0.032024   2.3955  +2.299e-15
  4500.0           0.597070          5.723298       2.301879            3.409273         0.032338   2.4864  +1.340e-14
  5000.0           0.484960          5.760387       2.336699            3.469613         0.032531   2.4652  +1.845e-15
