RCWA Multi-Energy Fourier Backend Comparison (numpy vs numba)

num_energies=10
energy_start_ev=100.0
energy_stop_ev=1200.0
grazing_angle_deg=4.0
fourier_orders=20
x_resolution_nm=0.1
z_resolution_nm=0.1

aggregates
- mean_numpy_total_s: 1.483429
- mean_numba_total_s: 0.534031
- mean_speedup_numpy_over_numba: 2.808473

per_energy
energy_ev  numpy_total_s  numba_total_s  numpy_fourier_s  numba_fourier_s  speedup  eff_delta_order_m1
 100.000          1.571801       0.741678            1.029925         0.224545   2.1193  +6.411e-13
 222.222          1.477271       0.510291            0.967737         0.004719   2.8950  +3.809e-12
 344.444          1.482459       0.527622            0.964242         0.004739   2.8097  +3.623e-12
 466.667          1.471838       0.522250            0.961627         0.004698   2.8183  +2.130e-13
 588.889          1.474894       0.509119            0.961960         0.004603   2.8970  -2.096e-14
 711.111          1.474484       0.504227            0.961743         0.004714   2.9242  -3.360e-13
 833.333          1.472191       0.505597            0.959253         0.004650   2.9118  -3.636e-14
 955.556          1.467033       0.521981            0.962023         0.004877   2.8105  +2.856e-14
1077.778          1.484269       0.499806            0.978150         0.004746   2.9697  +1.505e-14
1200.000          1.458051       0.497736            0.963289         0.004743   2.9294  -3.669e-15
